,S_O2,S_N2,S_NH4,S_NO3,S_PO4,S_F,S_A,S_I,S_ALK,X_I,X_S,X_H,X_PAO,X_PP,X_PHA,X_AUT,X_MeOH,X_MeP,H2O
aero_hydrolysis,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.008579071428571425,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anox_hydrolysis,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.008579071428571425,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
anae_hydrolysis,0.0,0.0,0.01,0.0,0.0,1.0,0.0,0.0,0.008579071428571425,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hetero_growth_S_F,-0.6000000000000001,0.0,-0.022000000000000006,0.0,-0.004,-1.6,0.0,0.0,-0.01654733623298442,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hetero_growth_S_A,-0.6000000000000001,0.0,-0.07,0.0,-0.02,0.0,-1.6,0.0,0.2518471045493635,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denitri_S_F,0.0,0.20999999999999996,-0.022000000000000006,-0.20999999999999996,-0.004,-1.6,0.0,0.0,0.16352698534169013,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
denitri_S_A,0.0,0.20999999999999996,-0.07000000000000009,-0.20999999999999996,-0.02,0.0,-1.6,0.0,0.431921426124038,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
ferment,0.0,0.0,0.03,0.0,0.01,-1.0,1.0,0.0,-0.16774652548896743,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hetero_lysis,0.0,0.0,0.032,0.0,0.01,0.0,0.0,0.0,0.02163647629674677,0.1,0.9,-1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PAO_storage_PHA,0.0,0.0,0.0,0.0,0.4,0.0,-1.0,0.0,0.10998187070627702,0.0,0.0,0.0,0.0,-0.4,1.0,0.0,0.0,0.0,0.0
aero_storage_PP,-0.2,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.19421329198430728,0.0,0.0,0.0,0.0,1.0,-0.2,0.0,0.0,0.0,0.0
PAO_aero_growth_PHA,-0.6000000000000001,0.0,-0.07,0.0,-0.02,0.0,0.0,0.0,-0.0484203954506364,0.0,0.0,0.0,1.0,0.0,-1.6,0.0,0.0,0.0,0.0
PAO_lysis,0.0,0.0,0.032,0.0,0.01,0.0,0.0,0.0,0.02163647629674677,0.1,0.9,0.0,-1.0,0.0,0.0,0.0,0.0,0.0,0.0
PP_lysis,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.19421329198430728,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,0.0
PHA_lysis,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,-0.18766718749999994,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0
auto_aero_growth,-18.047619047619047,0.0,-4.236666666666667,4.166666666666667,-0.02,0.0,0.0,0.0,-7.195936696535455,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
auto_lysis,0.0,0.0,0.032,0.0,0.01,0.0,0.0,0.0,0.02163647629674677,0.1,0.9,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0
precipitation,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.5816552274681789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.45,4.86916525894288,0.0
redissolution,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,-0.5816552274681789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.45,-4.86916525894288,0.0
anox_storage_PP,0.0,0.07003612635473819,0.0,-0.07003612635473819,-1.0,0.0,0.0,0.0,0.25426904407501055,0.0,0.0,0.0,0.0,1.0,-0.2,0.0,0.0,0.0,0.0
PAO_anox_growth,0.0,0.2073883790642147,-0.06830000000000004,-0.20908837906421462,-0.02,0.0,0.0,0.0,0.13233065625953933,0.0,0.0,0.0,1.0,0.0,-1.6,0.0,0.0,0.0,0.0
