,Latitude,Longitude
"Honolulu, HI",21.304547,-157.855676
"Anaheim, CA",33.8347516,-117.911732
"Henderson, NV",36.0319843,-114.9822486
"Orlando, FL",28.5421109,-81.3790304
"Lexington, KY",38.0464066,-84.4970393
"Stockton, CA",37.9577016,-121.290779
"Riverside, CA",33.9824949,-117.374238
"Corpus Christi, TX",27.7635302,-97.4033191
"Irvine, CA",33.6856969,-117.825981
"Cincinnati, OH",39.1014537,-84.5124602
"Santa Ana, CA",33.7494951,-117.873221
"Newark, NJ",40.735657,-74.1723667
"St. Paul, MN",44.9497487,-93.0931028
"Pittsburgh, PA",40.4416941,-79.9900861
"Greensboro, NC",36.0726355,-79.7919754
"Durham, NC",35.996653,-78.9018053
"Lincoln, NE",40.8088861,-96.7077751
"Jersey City, NJ",40.7215682,-74.047455
"Plano, TX",33.0136764,-96.6925096
"Anchorage, AK",61.2163129,-149.894852
"North Las Vegas, NV",36.2005843,-115.121584
"St. Louis, MO",38.6280278,-90.1910154
"Madison, WI",43.074761,-89.3837613
"Chandler, AZ",33.3062031,-111.841185
"Gilbert, AZ",33.3527632,-111.789037
"Reno, NV",39.5261206,-119.8126581
"Buffalo, NY",42.8867166,-78.8783922
"Chula Vista, CA",32.6400541,-117.084195
"Fort Wayne, IN",41.0799898,-85.1386015
"Lubbock, TX",33.5855677,-101.8470215
"Toledo, OH",41.6529143,-83.5378173
"St. Petersburg, FL",27.7700475,-82.6359078
"Laredo, TX",27.5075005,-99.5069922
"Irving, TX",32.8629195,-96.97917027
"Chesapeake, VA",36.7168315,-76.2494453
"Glendale, AZ",33.5386858,-112.185994
"Winston-Salem, NC",36.0998131,-80.2440518
"Port St. Lucie, FL",27.2939333,-80.3503283
"Scottsdale, AZ",33.4942189,-111.926018
"Garland, TX",32.912624,-96.6388833
"Boise City, ID",43.6166163,-116.200886
"Norfolk, VA",36.8493695,-76.2899539
"Spokane, WA",47.6571934,-117.42351
"Richmond, VA",37.5385087,-77.43428
"Fremont, CA",37.5482697,-121.988571
"Huntsville, AL",34.729847,-86.5859011
"Frisco, TX",33.1505998,-96.8238183
"Cape Coral, FL",26.5625742,-81.9438802
"Santa Clarita, CA",34.4127963,-118.5538088
"San Bernardino, CA",34.8253019,-116.0833144
"Tacoma, WA",47.2455013,-122.438329
"Hialeah, FL",25.8575963,-80.2781057
"Baton Rouge, LA",30.4494155,-91.1869659
"Modesto, CA",37.6393419,-120.9968892
"Fontana, CA",34.0922947,-117.43433
"McKinney, TX",33.1976496,-96.6154471
"Moreno Valley, CA",33.937517,-117.2305944
"Des Moines, IA",41.5868654,-93.6249494
"Fayetteville, NC",35.0525759,-78.878292
"Salt Lake City, UT",40.7596198,-111.886797
"Yonkers, NY",40.9312099,-73.8987469
"Worcester, MA",42.2625621,-71.8018877
"Rochester, NY",43.157285,-77.615214
"Sioux Falls, SD",43.5476008,-96.7293629
"Little Rock, AR",34.7465071,-92.2896267
"Amarillo, TX",35.20729,-101.8371192
"Tallahassee, FL",30.4380832,-84.2809332
"Grand Prairie, TX",32.7459645,-96.9977846
"Columbus, GA",32.4610708,-84.9880449
"Augusta-Richmond County, GA",33.4709714,-81.9748429
"Peoria, AZ",33.5806115,-112.237294
"Oxnard, CA",34.1976308,-119.180381
"Knoxville, TN",35.9603948,-83.9210261
"Overland Park, KS",38.9742502,-94.6851702
"Birmingham, AL",33.5206824,-86.8024326
"Grand Rapids, MI",42.9632425,-85.6678639
"Vancouver, WA",45.6306954,-122.6744557
"Montgomery, AL",32.37742,-86.3091683
"Huntington Beach, CA",33.6783336,-118.000016
"Providence, RI",41.8239891,-71.4128343
"Brownsville, TX",25.9024289,-97.4981698
