t,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,TSS_in
0,10,20,40,70,200,300,350,350,2000,4000,2350
0.05,11,16.5,26.7,59.8,278,278,278,278,277,4710,2421
0.1,10.9,16.3,26.7,60.5,284,284,284,284,284,4580,2496
0.15,10.9,16.3,26.8,60.6,285,285,285,285,285,4600,2502
0.2,10.9,16.4,26.8,60.7,286,286,286,286,286,4610,2511
0.25,11,16.4,26.8,60.8,287,287,286,286,286,4630,2517
0.3,11,16.4,26.9,60.9,287,287,287,287,287,4650,2533
0.35,11,16.4,26.9,61,288,288,288,288,288,4670,2549
0.4,11,16.4,26.9,61.1,289,289,289,289,289,4690,2555
0.45,11,16.5,27,61.2,290,290,290,290,290,4710,2571
0.5,11,16.5,27,61.3,290,290,290,290,290,4730,2577
0.55,11.1,16.5,27,61.4,291,291,291,291,291,4740,2593
0.6,11.1,16.5,27,61.5,292,292,292,292,292,4760,2599
0.65,11.1,16.5,27.1,61.5,293,293,293,293,293,4780,2613
0.7,11.1,16.6,27.1,61.6,293,293,293,293,293,4800,2624
0.75,11.1,16.6,27.1,61.7,294,294,294,294,294,4820,2636
0.8,11.1,16.6,27.2,61.8,295,295,295,295,295,4840,2647
0.85,11.2,16.6,27.2,61.9,296,296,296,296,295,4850,2657
0.9,11.2,16.6,27.2,62,296,296,296,296,296,4870,2668
0.95,11.2,16.6,27.3,62.1,297,297,297,297,297,4890,2678
1,11.2,16.7,27.3,62.2,298,298,298,298,298,4910,2689
1.05,11.2,16.7,27.3,62.2,298,298,298,298,298,4920,2698
1.1,11.2,16.7,27.3,62.3,299,299,299,299,299,4940,2710
1.15,11.2,16.7,27.4,62.4,300,300,300,300,300,4960,2722
1.2,11.3,16.7,27.4,62.5,300,300,300,300,300,4970,2725
1.25,11.3,16.7,27.4,62.6,301,301,301,301,301,4990,2737
1.3,11.3,16.8,27.4,62.6,302,302,302,302,302,5010,2748
1.35,11.3,16.8,27.5,62.7,302,302,302,302,302,5020,2761
1.4,11.3,16.8,27.5,62.8,303,303,303,303,303,5040,2764
1.45,11.3,16.8,27.5,62.9,304,304,304,304,304,5060,2776
1.5,11.3,16.8,27.5,62.9,304,304,304,304,304,5070,2788
1.55,11.4,16.8,27.6,63,305,305,305,305,305,5090,2793
1.6,11.4,16.9,27.6,63.1,305,305,305,305,305,5100,2804
1.65,11.4,16.9,27.6,63.2,306,306,306,306,306,5120,2817
1.7,11.4,16.9,27.6,63.2,307,307,307,307,307,5130,2821
1.75,11.4,16.9,27.7,63.3,307,307,307,307,307,5150,2833
1.8,11.4,16.9,27.7,63.4,308,308,308,308,308,5160,2838
1.85,11.4,16.9,27.7,63.4,308,308,308,308,308,5180,2851
1.9,11.4,16.9,27.7,63.5,309,309,309,309,309,5190,2855
1.95,11.5,17,27.8,63.6,310,310,310,310,309,5210,2868
2,11.5,17,27.8,63.7,310,310,310,310,310,5220,2873
2.05,11.5,17,27.8,63.7,311,311,311,311,311,5230,2884
2.1,11.5,17,27.8,63.8,311,311,311,311,311,5250,2889
2.15,11.5,17,27.8,63.8,312,312,312,312,312,5260,2902
2.2,11.5,17,27.9,63.9,312,312,312,312,312,5270,2907
2.25,11.5,17,27.9,64,313,313,313,313,313,5290,2913
2.3,11.5,17.1,27.9,64,313,313,313,313,313,5300,2925
2.35,11.6,17.1,27.9,64.1,314,314,314,314,314,5310,2930
2.4,11.6,17.1,27.9,64.2,314,314,314,314,314,5330,2935
2.45,11.6,17.1,28,64.2,315,315,315,315,315,5340,2947
2.5,11.6,17.1,28,64.3,315,315,315,315,315,5350,2953
2.55,11.6,17.1,28,64.3,316,316,316,316,316,5370,2959
2.6,11.6,17.1,28,64.4,316,316,316,316,316,5380,2964
2.65,11.6,17.1,28,64.5,317,317,317,317,317,5390,2977
2.7,11.6,17.2,28.1,64.5,317,317,317,317,317,5400,2983
2.75,11.6,17.2,28.1,64.6,318,318,318,318,318,5420,2988
2.8,11.7,17.2,28.1,64.6,318,318,318,318,318,5430,2993
2.85,11.7,17.2,28.1,64.7,319,319,319,319,319,5440,3006
2.9,11.7,17.2,28.1,64.7,319,319,319,319,319,5450,3012
