ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
39093,0.303,0.000,1.451,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:1920(_aresame)
26195,0.283,0.000,0.898,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\sanunits\_suspended_growth_bioreactor.py:276(dy_dt)
631514/260982,0.232,0.000,0.297,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:2065(_preorder_traversal)
128,0.224,0.002,0.226,0.002,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\scipy\linalg\decomp_lu.py:15(lu_factor)
5239,0.176,0.000,0.304,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\sanunits\_clarifier.py:390(dy_dt)
77814/76817,0.174,0.000,0.554,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\expr.py:144(__eq__)
657811/657171,0.108,0.000,0.111,0.000,{built-in method builtins.isinstance}
26195,0.094,0.000,0.094,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\sanunits\_suspended_growth_bioreactor.py:41(dydt_cstr_no_rxn_fixed_aer)
5239,0.088,0.000,0.088,0.000,<lambdifygenerated-1>:1(_lambdifygenerated)
5239,0.084,0.000,0.084,0.000,<lambdifygenerated-3>:1(_lambdifygenerated)
5239,0.084,0.000,0.084,0.000,<lambdifygenerated-4>:1(_lambdifygenerated)
5239,0.084,0.000,0.084,0.000,<lambdifygenerated-5>:1(_lambdifygenerated)
36675,0.082,0.000,0.095,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\_sanunit.py:465(_refresh_ins)
5239,0.082,0.000,0.082,0.000,<lambdifygenerated-2>:1(_lambdifygenerated)
5241,0.080,0.000,0.106,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\sanunits\_clarifier.py:285(_update_state)
77114,0.073,0.000,0.232,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\symbol.py:306(_hashable_content)
39806,0.072,0.000,0.137,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\numbers.py:1380(__eq__)
123492,0.067,0.000,0.170,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\sympify.py:479(_sympify)
77114,0.066,0.000,0.066,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\symbol.py:320(<dictcomp>)
44353/15690,0.061,0.000,1.778,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\cache.py:69(wrapper)
236322,0.058,0.000,0.404,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:2109(__next__)
5240,0.057,0.000,0.063,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\sanunits\_clarifier.py:309(_update_dstate)
77114,0.056,0.000,0.129,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\symbol.py:318(assumptions0)
236573/236561,0.052,0.000,0.347,0.000,{built-in method builtins.next}
168470/168464,0.050,0.000,0.065,0.000,{built-in method builtins.getattr}
5239,0.048,0.000,1.562,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\biosteam\biosteam\_system.py:1554(dydt)
131298/131223,0.047,0.000,0.138,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\sympify.py:92(sympify)
8053/1098,0.042,0.000,1.705,0.002,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:1030(fallback)
97380,0.042,0.000,0.059,0.000,<frozen importlib._bootstrap>:389(parent)
17907/17805,0.040,0.000,0.053,0.000,{built-in method builtins.sum}
26200,0.039,0.000,0.055,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\sanunits\_suspended_growth_bioreactor.py:217(_update_dstate)
5239,0.037,0.000,0.037,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\sanunits\_clarifier.py:22(_settling_flux)
1141/1138,0.034,0.000,0.047,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\llvmlite\binding\ffi.py:149(__call__)
69270,0.033,0.000,0.033,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:2061(__init__)
26205,0.030,0.000,0.043,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\sanunits\_suspended_growth_bioreactor.py:209(_update_state)
79723/79660,0.028,0.000,0.052,0.000,{built-in method builtins.sorted}
72669,0.028,0.000,0.564,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:359(__ne__)
228238,0.027,0.000,0.027,0.000,{built-in method builtins.hasattr}
5240,0.025,0.000,0.179,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\biosteam\biosteam\_system.py:1502(_state_arr2attr)
190799,0.025,0.000,0.025,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:713(args)
5239,0.025,0.000,0.030,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\biosteam\biosteam\_system.py:1495(_dstate_attr2arr)
34337,0.022,0.000,0.051,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\numbers.py:1475(__hash__)
108555/104396,0.022,0.000,0.025,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\expr.py:126(__hash__)
3290/3029,0.020,0.000,0.034,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\compatibility.py:315(default_sort_key)
3505/155,0.019,0.000,0.276,0.002,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\printing\printer.py:294(_print)
34743,0.019,0.000,0.029,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\numbers.py:807(__hash__)
97389,0.018,0.000,0.018,0.000,{method 'rpartition' of 'str' objects}
10576/1209,0.016,0.000,1.726,0.001,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:958(_subs)
63429,0.016,0.000,0.024,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\biosteam\biosteam\utils\piping.py:422(__iter__)
584,0.016,0.000,0.037,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\facts.py:499(deduce_all_facts)
161035,0.016,0.000,0.016,0.000,{method 'items' of 'dict' objects}
703/694,0.015,0.000,0.125,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\expr.py:1194(as_terms)
3656,0.015,0.000,0.015,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\mul.py:1643(_eval_subs)
26564,0.015,0.000,0.015,0.000,{method 'copy' of 'numpy.ndarray' objects}
122956,0.013,0.000,0.013,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\core.py:71(<lambda>)
6858,0.012,0.000,0.016,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\numbers.py:151(mpf_norm)
3869,0.011,0.000,0.011,0.000,{method 'reduce' of 'numpy.ufunc' objects}
183,0.011,0.000,1.895,0.010,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:765(subs)
52425,0.010,0.000,0.010,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\biosteam\biosteam\utils\piping.py:425(__getitem__)
8709/90,0.010,0.000,0.016,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\chemicals\utils.py:147(hash_any_primitive)
43353,0.009,0.000,0.012,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\facts.py:533(<genexpr>)
119,0.009,0.000,1.780,0.015,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\scipy\integrate\_ivp\bdf.py:296(_step_impl)
57936,0.008,0.000,0.008,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\expr.py:135(_hashable_content)
3531/1922,0.008,0.000,0.043,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\compatibility.py:501(ordered)
1353/1338,0.008,0.000,0.029,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\numbers.py:1031(__new__)
64364,0.008,0.000,0.008,0.000,{built-in method builtins.iter}
42,0.008,0.000,1.413,0.034,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\scipy\integrate\_ivp\base.py:130(fun_vectorized)
6967,0.007,0.000,0.008,0.000,{built-in method numpy.array}
6042,0.007,0.000,0.030,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\printing\precedence.py:118(precedence)
62916,0.007,0.000,0.007,0.000,C:\Users\joy_c\Dropbox\PhD\Research\QSD\codes_developing\QSDsan\qsdsan\sanunits\_suspended_growth_bioreactor.py:163(split)
5408,0.007,0.000,0.025,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\numbers.py:1191(_new)
69270,0.007,0.000,0.007,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\basic.py:2112(__iter__)
11943,0.007,0.000,0.011,0.000,C:\Users\joy_c\Anaconda3\envs\dev\lib\site-packages\sympy\core\numbers.py:2248(__eq__)
