ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2363080,29.053,0.000,66.561,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:265(dy_dt)
472616,11.035,0.000,19.816,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:392(dy_dt)
5673577/5673475,7.018,0.000,7.035,0.000,{built-in method builtins.sum}
472618,6.559,0.000,8.866,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:288(_update_state)
2835697,6.072,0.000,7.141,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_sanunit.py:426(_refresh_ins)
472616,5.907,0.000,5.907,0.000,<lambdifygenerated-1>:1(_lambdifygenerated)
472616,5.596,0.000,5.596,0.000,<lambdifygenerated-3>:1(_lambdifygenerated)
472616,5.553,0.000,5.553,0.000,<lambdifygenerated-4>:1(_lambdifygenerated)
472616,5.527,0.000,5.527,0.000,<lambdifygenerated-2>:1(_lambdifygenerated)
472616,5.525,0.000,5.525,0.000,<lambdifygenerated-5>:1(_lambdifygenerated)
472617,3.920,0.000,4.535,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:313(_update_dstate)
472616,3.864,0.000,115.049,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1545(dydt)
157538,3.245,0.000,121.438,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/rk.py:14(rk_step)
2363085,3.055,0.000,4.503,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:200(_update_dstate)
472616,3.048,0.000,3.048,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:21(_settling_flux)
2363090,2.777,0.000,4.126,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:192(_update_state)
157528,2.555,0.000,127.222,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/rk.py:111(_step_impl)
472617,2.171,0.000,15.267,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1500(_state_arr2attr)
472616,2.004,0.000,2.400,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1492(_dstate_attr2arr)
1103110/945477,1.834,0.000,3.681,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
5199326,1.381,0.000,2.041,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/utils/piping.py:422(__iter__)
2363198,1.196,0.000,1.196,0.000,{method 'copy' of 'numpy.ndarray' objects}
3780960,0.783,0.000,0.783,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/utils/piping.py:425(__getitem__)
630642,0.720,0.000,0.720,0.000,{built-in method numpy.array}
5671440,0.709,0.000,0.709,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:146(split)
157541,0.663,0.000,1.395,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/linalg/linalg.py:2362(norm)
5200515,0.660,0.000,0.660,0.000,{built-in method builtins.iter}
1417862,0.547,0.000,0.852,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_sanunit.py:405(components)
472616,0.543,0.000,116.457,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/base.py:19(fun_wrapped)
787744,0.514,0.000,2.141,0.000,<__array_function__ internals>:2(dot)
157538,0.477,0.000,0.959,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/rk.py:105(_estimate_error)
1,0.469,0.469,129.145,129.145,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/ivp.py:156(solve_ivp)
472616,0.432,0.000,116.889,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/base.py:136(fun)
157528,0.409,0.000,0.409,0.000,{method 'searchsorted' of 'numpy.ndarray' objects}
157528,0.362,0.000,127.584,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/base.py:159(step)
1417919,0.305,0.000,0.305,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/utils/decorators/thermo_user.py:28(chemicals)
39093,0.282,0.000,1.440,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/sympy/core/basic.py:1867(_aresame)
