ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
2363095,38.685,0.000,103.102,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:263(dy_dt)
10555646,19.488,0.000,19.488,0.000,{built-in method numpy.array}
472619,16.181,0.000,44.554,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:359(dy_dt)
4728801,14.028,0.000,14.028,0.000,{method 'reduce' of 'numpy.ufunc' objects}
472619,7.330,0.000,200.564,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1540(dydt)
472619,6.698,0.000,6.698,0.000,<lambdifygenerated-1>:1(_lambdifygenerated)
472619,6.483,0.000,6.483,0.000,<lambdifygenerated-3>:1(_lambdifygenerated)
472619,6.313,0.000,6.313,0.000,<lambdifygenerated-5>:1(_lambdifygenerated)
472619,6.287,0.000,6.287,0.000,<lambdifygenerated-4>:1(_lambdifygenerated)
472619,6.284,0.000,6.284,0.000,<lambdifygenerated-2>:1(_lambdifygenerated)
4726190,5.715,0.000,11.009,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:21(_settling_flux)
472621,5.043,0.000,5.774,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:278(_update_state)
2520961/1418093,4.806,0.000,10.401,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
472620,4.664,0.000,5.615,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:299(_update_dstate)
157539,4.230,0.000,205.494,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/rk.py:14(rk_step)
2363100,4.161,0.000,6.082,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:200(_update_dstate)
2835715,3.668,0.000,10.961,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_sanunit.py:425(_collect_ins_state)
157529,3.419,0.000,213.156,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/rk.py:111(_step_impl)
2363105,3.409,0.000,5.270,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:192(_update_state)
9460308,2.918,0.000,2.918,0.000,{built-in method builtins.max}
472619,2.893,0.000,8.842,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1492(_dstate_attr2arr)
2835714,2.619,0.000,8.218,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_sanunit.py:428(_collect_ins_dstate)
7562452,2.619,0.000,3.821,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/utils/piping.py:422(__iter__)
472620,2.416,0.000,13.590,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1499(_state_arr2attr)
4727586,2.314,0.000,18.057,0.000,{method 'sum' of 'numpy.ndarray' objects}
