ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
10650303/5279563,17.358,0.000,37.671,0.000,{built-in method numpy.core._multiarray_umath.implement_array_function}
668530,10.132,0.000,31.505,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:248(dy_dt)
534833,8.617,0.000,23.779,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_bst_units.py:165(_state_locator)
6440653,7.634,0.000,7.634,0.000,{built-in method numpy.array}
133706,7.366,0.000,137.760,0.001,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1523(dydt)
133706,7.292,0.000,19.788,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_bst_units.py:96(dy_dt)
133706,5.276,0.000,17.407,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:332(dy_dt)
1337060,5.156,0.000,6.771,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:20(_settling_flux)
4011195,4.301,0.000,4.818,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/_waste_stream.py:134(ConcentrationProperty)
2540459,4.161,0.000,27.949,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/lib/function_base.py:4690(append)
4947178,3.382,0.000,14.365,0.000,<__array_function__ internals>:2(concatenate)
537317,2.792,0.000,2.792,0.000,{method 'reduce' of 'numpy.ufunc' objects}
2540459,2.583,0.000,8.685,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/fromnumeric.py:1716(ravel)
4011195,2.541,0.000,8.199,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/free_properties/_free_property.py:226(__rmul__)
133706,2.178,0.000,2.178,0.000,<lambdifygenerated-1>:1(_lambdifygenerated)
133707,2.151,0.000,27.502,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1481(_state_arr2dct)
133706,2.001,0.000,2.001,0.000,<lambdifygenerated-2>:1(_lambdifygenerated)
133706,1.958,0.000,1.958,0.000,<lambdifygenerated-3>:1(_lambdifygenerated)
133706,1.936,0.000,1.936,0.000,<lambdifygenerated-4>:1(_lambdifygenerated)
1337076,1.926,0.000,3.008,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_suspended_growth_bioreactor.py:177(_state_locator)
133706,1.909,0.000,1.909,0.000,<lambdifygenerated-5>:1(_lambdifygenerated)
133709,1.755,0.000,5.249,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:266(_state_locator)
2540459,1.739,0.000,33.456,0.000,<__array_function__ internals>:2(append)
133707,1.663,0.000,5.694,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:281(_dstate_locator)
5080979,1.663,0.000,5.806,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/_asarray.py:110(asanyarray)
2562751,1.640,0.000,1.640,0.000,{method 'ravel' of 'numpy.ndarray' objects}
7222159/7221523,1.630,0.000,1.633,0.000,{built-in method builtins.isinstance}
22284,1.629,0.000,139.247,0.006,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/rk.py:14(rk_step)
133706,1.596,0.000,2.297,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1475(_dstate_dct2arr)
2407089,1.505,0.000,1.505,0.000,{method 'update' of 'dict' objects}
2540459,1.497,0.000,12.861,0.000,<__array_function__ internals>:2(ravel)
2817761,1.165,0.000,1.165,0.000,{built-in method builtins.max}
3209003,0.999,0.000,0.999,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/utils/piping.py:425(__getitem__)
5615776,0.985,0.000,0.985,0.000,/Users/yalinli_cabbi/OneDrive/Coding/tmo/thermosteam/utils/decorators/registered.py:70(ID)
2406838,0.890,0.000,1.292,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/utils/piping.py:422(__iter__)
133706,0.830,0.000,138.849,0.001,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/scipy/integrate/_ivp/base.py:19(fun_wrapped)
401222,0.792,0.000,0.792,0.000,{built-in method numpy.zeros}
2030296,0.736,0.000,0.736,0.000,{built-in method builtins.min}
133706,0.729,0.000,7.500,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:348(<listcomp>)
4947178,0.727,0.000,0.727,0.000,/Users/yalinli_cabbi/opt/anaconda3/lib/python3.8/site-packages/numpy/core/multiarray.py:143(concatenate)
133706,0.687,0.000,0.849,0.000,/Users/yalinli_cabbi/OneDrive/Coding/qs/qsdsan/sanunits/_clarifier.py:349(<listcomp>)
1203354,0.679,0.000,0.784,0.000,/Users/yalinli_cabbi/OneDrive/Coding/bst/biosteam/_system.py:1528(<listcomp>)
