	indicator	alias	unit	method	category	description	full_name
29	E_AgriculturalLandOccupation		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'agricultural land occupation')
55	E_ClimateChangeEcosystems		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'climate change, ecosystems')
36	E_FreshwaterEcotoxicity		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'freshwater ecotoxicity')
62	E_FreshwaterEutrophication		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'freshwater eutrophication')
66	E_MarineEcotoxicity		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'marine ecotoxicity')
41	E_NaturalLandTransformation		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'natural land transformation')
60	E_TerrestrialAcidification		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'terrestrial acidification')
9	E_TerrestrialEcotoxicity		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'terrestrial ecotoxicity')
61	E_UrbanLandOccupation		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'urban land occupation')
16	E_EcosystemQuality_Total		points	ReCiPe Endpoint (E,A) (obsolete)	ecosystem quality total		('ReCiPe Endpoint (E,A) (obsolete)', 'ecosystem quality', 'total')
63	E_ClimateChangeHumanHealth		points	ReCiPe Endpoint (E,A) (obsolete)	human health		('ReCiPe Endpoint (E,A) (obsolete)', 'human health', 'climate change, human health')
34	E_HumanToxicity		points	ReCiPe Endpoint (E,A) (obsolete)	human health		('ReCiPe Endpoint (E,A) (obsolete)', 'human health', 'human toxicity')
7	E_IonisingRadiation		points	ReCiPe Endpoint (E,A) (obsolete)	human health		('ReCiPe Endpoint (E,A) (obsolete)', 'human health', 'ionising radiation')
38	E_OzoneDepletion		points	ReCiPe Endpoint (E,A) (obsolete)	human health		('ReCiPe Endpoint (E,A) (obsolete)', 'human health', 'ozone depletion')
8	E_ParticulateMatterFormation		points	ReCiPe Endpoint (E,A) (obsolete)	human health		('ReCiPe Endpoint (E,A) (obsolete)', 'human health', 'particulate matter formation')
57	E_PhotochemicalOxidantFormation		points	ReCiPe Endpoint (E,A) (obsolete)	human health		('ReCiPe Endpoint (E,A) (obsolete)', 'human health', 'photochemical oxidant formation')
48	E_HumanHealth_Total		points	ReCiPe Endpoint (E,A) (obsolete)	human health total		('ReCiPe Endpoint (E,A) (obsolete)', 'human health', 'total')
40	E_FossilDepletion		points	ReCiPe Endpoint (E,A) (obsolete)	resources		('ReCiPe Endpoint (E,A) (obsolete)', 'resources', 'fossil depletion')
71	E_MetalDepletion		points	ReCiPe Endpoint (E,A) (obsolete)	resources		('ReCiPe Endpoint (E,A) (obsolete)', 'resources', 'metal depletion')
58	E_Resources_Total		points	ReCiPe Endpoint (E,A) (obsolete)	resources total		('ReCiPe Endpoint (E,A) (obsolete)', 'resources', 'total')
0	E_All		points	ReCiPe Endpoint (E,A) (obsolete)	total		('ReCiPe Endpoint (E,A) (obsolete)', 'total', 'total')
64	H_AgriculturalLandOccupation		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'agricultural land occupation')
22	H_ClimateChangeEcosystems		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'climate change, ecosystems')
68	H_FreshwaterEcotoxicity		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'freshwater ecotoxicity')
32	H_FreshwaterEutrophication		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'freshwater eutrophication')
35	H_MarineEcotoxicity		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'marine ecotoxicity')
5	H_NaturalLandTransformation		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'natural land transformation')
30	H_TerrestrialAcidification		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'terrestrial acidification')
51	H_TerrestrialEcotoxicity		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'terrestrial ecotoxicity')
31	H_UrbanLandOccupation		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'urban land occupation')
53	H_EcosystemQuality_Total		points	ReCiPe Endpoint (H,A) (obsolete)	ecosystem quality total		('ReCiPe Endpoint (H,A) (obsolete)', 'ecosystem quality', 'total')
33	H_ClimateChangeHumanHealth		points	ReCiPe Endpoint (H,A) (obsolete)	human health		('ReCiPe Endpoint (H,A) (obsolete)', 'human health', 'climate change, human health')
65	H_HumanToxicity		points	ReCiPe Endpoint (H,A) (obsolete)	human health		('ReCiPe Endpoint (H,A) (obsolete)', 'human health', 'human toxicity')
46	H_IonisingRadiation		points	ReCiPe Endpoint (H,A) (obsolete)	human health		('ReCiPe Endpoint (H,A) (obsolete)', 'human health', 'ionising radiation')
1	H_OzoneDepletion		points	ReCiPe Endpoint (H,A) (obsolete)	human health		('ReCiPe Endpoint (H,A) (obsolete)', 'human health', 'ozone depletion')
49	H_ParticulateMatterFormation		points	ReCiPe Endpoint (H,A) (obsolete)	human health		('ReCiPe Endpoint (H,A) (obsolete)', 'human health', 'particulate matter formation')
26	H_PhotochemicalOxidantFormation		points	ReCiPe Endpoint (H,A) (obsolete)	human health		('ReCiPe Endpoint (H,A) (obsolete)', 'human health', 'photochemical oxidant formation')
10	H_HumanHealth_Total		points	ReCiPe Endpoint (H,A) (obsolete)	human health total		('ReCiPe Endpoint (H,A) (obsolete)', 'human health', 'total')
3	H_FossilDepletion		points	ReCiPe Endpoint (H,A) (obsolete)	resources		('ReCiPe Endpoint (H,A) (obsolete)', 'resources', 'fossil depletion')
37	H_MetalDepletion		points	ReCiPe Endpoint (H,A) (obsolete)	resources		('ReCiPe Endpoint (H,A) (obsolete)', 'resources', 'metal depletion')
27	H_Resources_Total		points	ReCiPe Endpoint (H,A) (obsolete)	resources total		('ReCiPe Endpoint (H,A) (obsolete)', 'resources', 'total')
39	H_All		points	ReCiPe Endpoint (H,A) (obsolete)	total		('ReCiPe Endpoint (H,A) (obsolete)', 'total', 'total')
52	I_AgriculturalLandOccupation		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'agricultural land occupation')
6	I_ClimateChangeEcosystems		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'climate change, ecosystems')
56	I_FreshwaterEcotoxicity		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'freshwater ecotoxicity')
14	I_FreshwaterEutrophication		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'freshwater eutrophication')
17	I_MarineEcotoxicity		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'marine ecotoxicity')
70	I_NaturalLandTransformation		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'natural land transformation')
11	I_TerrestrialAcidification		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'terrestrial acidification')
42	I_TerrestrialEcotoxicity		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'terrestrial ecotoxicity')
18	I_UrbanLandOccupation		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'urban land occupation')
43	I_EcosystemQuality_Total		points	ReCiPe Endpoint (I,A) (obsolete)	ecosystem quality total		('ReCiPe Endpoint (I,A) (obsolete)', 'ecosystem quality', 'total')
28	I_ClimateChangeHumanHealth		points	ReCiPe Endpoint (I,A) (obsolete)	human health		('ReCiPe Endpoint (I,A) (obsolete)', 'human health', 'climate change, human health')
67	I_HumanToxicity		points	ReCiPe Endpoint (I,A) (obsolete)	human health		('ReCiPe Endpoint (I,A) (obsolete)', 'human health', 'human toxicity')
47	I_IonisingRadiation		points	ReCiPe Endpoint (I,A) (obsolete)	human health		('ReCiPe Endpoint (I,A) (obsolete)', 'human health', 'ionising radiation')
2	I_OzoneDepletion		points	ReCiPe Endpoint (I,A) (obsolete)	human health		('ReCiPe Endpoint (I,A) (obsolete)', 'human health', 'ozone depletion')
50	I_ParticulateMatterFormation		points	ReCiPe Endpoint (I,A) (obsolete)	human health		('ReCiPe Endpoint (I,A) (obsolete)', 'human health', 'particulate matter formation')
23	I_PhotochemicalOxidantFormation		points	ReCiPe Endpoint (I,A) (obsolete)	human health		('ReCiPe Endpoint (I,A) (obsolete)', 'human health', 'photochemical oxidant formation')
12	I_HumanHealth_Total		points	ReCiPe Endpoint (I,A) (obsolete)	human health total		('ReCiPe Endpoint (I,A) (obsolete)', 'human health', 'total')
69	I_FossilDepletion		points	ReCiPe Endpoint (I,A) (obsolete)	resources		('ReCiPe Endpoint (I,A) (obsolete)', 'resources', 'fossil depletion')
24	I_MetalDepletion		points	ReCiPe Endpoint (I,A) (obsolete)	resources		('ReCiPe Endpoint (I,A) (obsolete)', 'resources', 'metal depletion')
15	I_Resources_Total		points	ReCiPe Endpoint (I,A) (obsolete)	resources total		('ReCiPe Endpoint (I,A) (obsolete)', 'resources', 'total')
13	I_All		points	ReCiPe Endpoint (I,A) (obsolete)	total		('ReCiPe Endpoint (I,A) (obsolete)', 'total', 'total')
59	Acidification		moles of .	TRACI (obsolete)	environmental impact		('TRACI (obsolete)', 'environmental impact', 'acidification')
44	Ecotoxicity		kg 2,4-D-.	TRACI (obsolete)	environmental impact		('TRACI (obsolete)', 'environmental impact', 'ecotoxicity')
