parameter	name (if diff)	unit	expected	low	high	distribution	references
tau		days	1			constant	CIDI
tank_steel_weight	estimated total weight of primary clarifier tank	kg	250	175	325	uniform	"BOM, assuming 8000L tank weights 135 kg"
steel_density	density of steel	kg/m3	7850			constant	BOM
clear_water_tank_cost		USD	1364	954.8	1773.2	uniform	BOM
weld_female_adapter_fittings		USD	6.87	4.809	8.931	uniform	https://thedrainagesource.com/4-pvc-sdr35-solvent-weld-female-adapter-s-x-fpt/?srsltid=AfmBOorc5xzjQmxhmGZ2dstlABtaDC0az8KOrbJaDaI1zrV2U6IJzc1r
pipeline_connectors		USD	13.16	9.212	17.108	uniform	https://www.eco-filtration.co.uk/product/110mm-4-pond-threaded-tank-connector/?srsltid=AfmBOoqFzwEcDdzmztkcvuSYA_anY1hoj5U5rOQz0Q8s1FUBhTeQpdX2
O3_generation_machine_cost		USD	527	368.9	685.1	uniform	BOM
clear_water_tank_lifetime		yr	8	5.6	10.4	uniform	assumption
weld_female_adapter_fittings_lifetime		yr	5	3.5	6.5	uniform	assumption
pipeline_connectors_lifetime		yr	5	3.5	6.5	uniform	assumption
O3_generation_machine_lifetime		yr	10	7	13	uniform	assumption
power_demand_CWT	energy consumption for clear water tank	KWh/day	0.8	0.56	1.04	uniform	assumption
clear_water_pump_cast_iron		kg	9	6.3	11.7	uniform	data sheet
clear_water_pump_power		kW	0.75	0.525	0.975	uniform	data sheet
clear_water_pump_cost		USD	127	88.9	165.1	uniform	BOM
pump_lifetime		yr	5	3.5	6.5	uniform	assumption
clear_water_air_dissolved_pump_cast_iron		kg	6.8	4.76	8.84	uniform	data sheet
clear_water_air_dissolved_pump_power		kW	0.55	0.385	0.715	uniform	data sheet
clear_water_air_dissolved_pump_cost		USD	1098.72	769.104	1428.336	uniform	BOM
