parameter	name (if diff)	unit	expected	low	high	distribution	references
tau		days	1			constant	CIDI
tank_steel_volume	estimated total weight of primary clarifier tank	kg	250	175	325	uniform	"BOM, assuming 8000L tank weighs 135kg"
steel_density	density of steel	kg/m3	7850			constant	BOM
pressure_water_tank_cost		USD	2000	1400	2600	uniform	assumption
weld_female_adapter_fittings		USD	6.87	4.809	8.931	uniform	https://thedrainagesource.com/4-pvc-sdr35-solvent-weld-female-adapter-s-x-fpt/?srsltid=AfmBOorc5xzjQmxhmGZ2dstlABtaDC0az8KOrbJaDaI1zrV2U6IJzc1r
pipeline_connectors		USD	13.16	9.212	17.108	uniform	https://www.eco-filtration.co.uk/product/110mm-4-pond-threaded-tank-connector/?srsltid=AfmBOoqFzwEcDdzmztkcvuSYA_anY1hoj5U5rOQz0Q8s1FUBhTeQpdX2
pressure_water_tank_lifetime		yr	8	5.6	10.4	uniform	assumption
weld_female_adapter_fittings_lifetime		yr	5	3.5	6.5	uniform	assumption
pipeline_connectors_lifetime		yr	5	3.5	6.5	uniform	assumption
power_demand_PT	energy consumption for clear water tank	KWh/day	0.1	0.07	0.13	uniform	assumption
