t	S_I	S_S	X_I	X_S	X_BH	X_BA	X_P	S_O	S_NO	S_NH	S_ND	X_ND	S_ALK	S_N2	Q
0	79.475	238.425	17.32	86.7	11.56	0.01	0.01	1.279731577	0.01	51.35	11.06	16.59	30	0	50178.12675
0.010342505	79.475	238.425	17.32	86.7	11.56	0.01	0.01	1.26132942	0.01	51.35	11.06	16.59	30	0	50178.12675
0.020306323	79.475	238.425	17.32	86.7	11.56	0.01	0.01	1.252518147	0.01	51.35	11.06	16.59	30	0	50178.12675
0.030047376	79.475	238.425	17.32	86.7	11.56	0.01	0.01	1.194920297	0.01	51.35	11.06	16.59	30	0	50178.12675
0.041552306	79.4565106	238.3695318	17.31596595	86.67982974	11.55731063	0.01	0.01	1.132089862	0.01	51.3439074	11.05868775	16.58803162	30	0	50178.12675
0.051085092	78.06421204	234.1926361	17.01219172	85.16095859	11.35479448	0.01	0.01	1.057853597	0.01	50.88511896	10.95987178	16.43980766	30	0	50178.12675
0.061042004	77.91666667	233.75	16.98	85	11.33333333	0.01	0.01	0.929457967	0.01	50.8365	10.9494	16.4241	30	0	50178.12675
0.072347567	77.91666667	233.75	16.98	85	11.33333333	0.01	0.01	0.723506475	0.01	50.8365	10.9494	16.4241	30	0	50178.12675
0.082133832	77.67686155	233.0305847	16.92767888	84.73839442	11.29845259	0.01	0.01	0.523690469	0.01	50.78381982	10.9380535	16.40708025	30	0	50178.12675
0.092479595	75.83119313	227.4935794	16.52498759	82.72493796	11.02999173	0.01	0.01	0.295943146	0.01	50.37836496	10.85072476	16.27608714	30	0	50178.12675
0.10124279	75.57916667	226.7375	16.47	82.45	10.99333333	0.01	0.01	0.220059702	0.01	50.323	10.8388	16.2582	30	0	50178.12675
0.11377451	75.57916667	226.7375	16.47	82.45	10.99333333	0.01	0.01	0.227612413	0.01	50.323	10.8388	16.2582	30	0	50178.12675
0.12256393	75.10474336	225.3142301	16.36648946	81.9324473	10.92432631	0.01	0.01	0.231213642	0.01	50.42722091	10.86124758	16.29187137	30	0	50178.12675
0.13175957	73.84491538	221.5347461	16.0916179	80.5580895	10.7410786	0.01	0.01	0.232597744	0.01	50.70397884	10.92085698	16.38128547	30	0	50178.12675
0.14071476	73.24166667	219.725	15.96	79.9	10.65333333	0.01	0.01	0.239606786	0.01	50.8365	10.9494	16.4241	30	0	50178.12675
0.1523882	73.24166667	219.725	15.96	79.9	10.65333333	0.01	0.01	0.425586457	0.01	50.8365	10.9494	16.4241	30	0	50178.12675
0.16221423	71.99726386	215.9917916	15.68849393	78.54246966	10.47232929	0.01	0.01	0.755632621	0.01	50.50845679	10.87874454	16.31811681	30	0	50178.12675
0.17019533	70.4848037	211.4544111	15.35850262	76.89251312	10.25233508	0.01	0.01	1.011626804	0.01	50.10974964	10.79286915	16.18930373	30	0	50178.12675
0.18039156	69.34583333	208.0375	15.11	75.65	10.08666667	0.01	0.01	1.187594733	0.01	49.8095	10.7282	16.0923	30	0	50178.12675
0.19232609	69.34583333	208.0375	15.11	75.65	10.08666667	0.01	0.01	1.204451714	0.01	49.8095	10.7282	16.0923	30	0	50178.12675
0.20081585	68.67061571	206.0118471	14.96267979	74.91339896	9.988453195	0.01	0.01	1.175928718	0.01	49.54250379	10.67069312	16.00603969	30	0	50178.12675
0.21288776	66.27716647	198.8314994	14.44047268	72.30236342	9.640315123	0.01	0.01	1.088922628	0.01	48.5960802	10.46684804	15.70027206	30	0	50178.12675
0.22283652	65.45	196.35	14.26	71.4	9.52	0.01	0.01	1.136312688	0.01	48.269	10.3964	15.5946	30	0	50178.12675
0.23064617	65.45	196.35	14.26	71.4	9.52	0.01	0.01	1.147116692	0.01	48.269	10.3964	15.5946	30	0	50178.12675
0.24065683	65.12897232	195.386917	14.1899576	71.04978798	9.473305064	0.01	0.01	0.969274591	0.01	48.16321537	10.37361562	15.56042343	30	0	50178.12675
0.25000473	62.33490964	187.0047289	13.58034392	68.00171961	9.066895947	0.01	0.01	0.755643579	0.01	47.24251942	10.17531188	15.26296781	30	0	50178.12675
0.26009052	62.33338271	187.0001481	13.58001077	68.00005387	9.066673849	0.01	0.01	0.406352294	0.01	47.24201627	10.1752035	15.26280526	30	0	50178.12675
0.27048442	62.33333333	187	13.58	68	9.066666667	0.01	0.01	0.238569513	0.01	47.242	10.1752	15.2628	30	0	50178.12675
0.28033715	62.33333333	187	13.58	68	9.066666667	0.01	0.01	0.242797875	0.01	47.242	10.1752	15.2628	30	0	50178.12675
0.29042878	62.07561525	186.2268458	13.5237706	67.718853	9.029180401	0.01	0.01	0.238541779	0.01	47.07215414	10.13861781	15.20792672	30	0	50178.12675
0.30032214	60.34159504	181.0247851	13.14543892	65.82719459	8.776959279	0.01	0.01	0.219435508	0.01	45.92936991	9.892479673	14.83871951	30	0	50178.12675
0.31038932	59.99583333	179.9875	13.07	65.45	8.726666667	0.01	0.01	0.210819735	0.01	45.7015	9.8434	14.7651	30	0	50178.12675
0.32201436	59.99583333	179.9875	13.07	65.45	8.726666667	0.01	0.01	0.163677493	0.01	45.7015	9.8434	14.7651	30	0	50178.12675
0.33125789	59.86117413	179.5835224	13.04061981	65.30309905	8.707079874	0.01	0.01	0.154697271	0.01	45.52400909	9.805171189	14.70775678	30	0	50178.12675
0.34087415	59.38535304	178.1560591	12.9368043	64.7840215	8.637869534	0.01	0.01	0.160381871	0.01	44.89684128	9.67008889	14.50513334	30	0	50178.12675
0.35118036	59.21666667	177.65	12.9	64.6	8.613333333	0.01	0.01	0.171186341	0.01	44.6745	9.6222	14.4333	30	0	50178.12675
0.360251	59.21666667	177.65	12.9	64.6	8.613333333	0.01	0.01	0.172276814	0.01	44.6745	9.6222	14.4333	30	0	50178.12675
0.37134071	60.04383718	180.1315115	13.08047357	65.50236783	8.733649044	0.01	0.01	0.168274803	0.01	45.21963633	9.739613979	14.60942097	30	0	50178.12675
0.38028491	61.4260901	184.2782703	13.38205602	67.01028011	8.934704014	0.01	0.01	0.166259486	0.01	46.13059275	9.935819976	14.90372996	30	0	50178.12675
0.3924222	62.33333333	187	13.58	68	9.066666667	0.01	0.01	0.166367492	0.01	46.7285	10.0646	15.0969	30	0	50178.12675
0.40054743	62.33333333	187	13.58	68	9.066666667	0.01	0.01	0.166798154	0.01	46.7285	10.0646	15.0969	30	0	50178.12675
0.41250604	64.10400427	192.3120128	13.9663282	69.93164102	9.324218803	0.01	0.01	0.165634187	0.01	48.15475808	10.37179405	15.55769107	30	0	50178.12675
0.42240215	67.51939394	202.5581818	14.71150413	73.65752066	9.821002755	0.01	0.01	0.161619843	0.01	50.90582098	10.96433067	16.44649601	30	0	50178.12675
0.43144108	69.34583333	208.0375	15.11	75.65	10.08666667	0.01	0.01	0.170187742	0.01	52.377	11.2812	16.9218	30	0	50178.12675
0.44005276	69.34583333	208.0375	15.11	75.65	10.08666667	0.01	0.01	0.194390378	0.01	52.377	11.2812	16.9218	30	0	50178.12675
0.45398742	72.60866398	217.8259919	15.82189032	79.20945162	10.56126022	0.01	0.01	0.228106498	0.01	53.74539025	11.57593021	17.36389531	30	0	50178.12675
0.46064051	75.60276298	226.8082889	16.47514829	82.47574143	10.99676552	0.01	0.01	0.22171342	0.01	55.00107782	11.84638599	17.76957899	30	0	50178.12675
0.47036782	77.91666667	233.75	16.98	85	11.33333333	0.01	0.01	0.184885623	0.01	55.9715	12.0554	18.0831	30	0	50178.12675
0.48099478	77.91666667	233.75	16.98	85	11.33333333	0.01	0.01	0.203451312	0.01	55.9715	12.0554	18.0831	30	0	50178.12675
0.49027177	78.41341798	235.2402539	17.0883821	85.54191052	11.40558807	0.01	0.01	0.202069821	0.01	56.10245108	12.08360485	18.12540727	30	0	50178.12675
0.50035641	85.44238324	256.3271497	18.62197453	93.20987263	12.42798302	0.01	0.01	0.174079587	0.01	57.95539157	12.48269972	18.72404959	30	0	50178.12675
0.5103072	85.7054395	257.1163185	18.67936862	93.49684309	12.46624575	0.01	0.01	0.29341679	0.01	58.02473714	12.49763569	18.74645354	30	0	50178.12675
0.52046529	85.70833333	257.125	18.68	93.5	12.46666667	0.01	0.01	0.470050881	0.01	58.0255	12.4978	18.7467	30	0	50178.12675
0.53047133	85.70833333	257.125	18.68	93.5	12.46666667	0.01	0.01	0.872120677	0.01	58.0255	12.4978	18.7467	30	0	50178.12675
0.54010345	86.18553559	258.5566068	18.78411686	94.02058428	12.5360779	0.01	0.01	1.210216028	0.01	57.83680351	12.45715768	18.68573652	30	0	50178.12675
