	Time	Q_in	S_I	S_S	X_I	X_S	X_BH	X_BA	X_P	S_O	S_NO	S_NH	S_ND	X_ND	S_ALK
0	['days']	['m3/d']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']
1	0	49573.841	79.475	238.425	17.32	86.7	11.56	0.01	0.01	1.279731577	0.01	51.35	11.06	16.59	30
2	0.010342505	47257.69473	79.475	238.425	17.32	86.7	11.56	0.01	0.01	1.26132942	0.01	51.35	11.06	16.59	30
3	0.020306323	43693.30979	79.475	238.425	17.32	86.7	11.56	0.01	0.01	1.252518147	0.01	51.35	11.06	16.59	30
4	0.030047376	41012.61142	79.475	238.425	17.32	86.7	11.56	0.01	0.01	1.194920297	0.01	51.35	11.06	16.59	30
5	0.041552306	40889.48868	79.4565106	238.3695318	17.31596595	86.67982974	11.55731063	0.01	0.01	1.132089862	0.01	51.3439074	11.05868775	16.58803162	30
6	0.051085092	38452.13042	78.06421204	234.1926361	17.01219172	85.16095859	11.35479448	0.01	0.01	1.057853597	0.01	50.88511896	10.95987178	16.43980766	30
7	0.061042004	35470.29659	77.91666667	233.75	16.98	85	11.33333333	0.01	0.01	0.929457967	0.01	50.8365	10.9494	16.4241	30
8	0.072347567	35561.57977	77.91666667	233.75	16.98	85	11.33333333	0.01	0.01	0.723506475	0.01	50.8365	10.9494	16.4241	30
9	0.082133832	39666.9721	77.67686155	233.0305847	16.92767888	84.73839442	11.29845259	0.01	0.01	0.523690469	0.01	50.78381982	10.9380535	16.40708025	30
10	0.092479595	42427.91448	75.83119313	227.4935794	16.52498759	82.72493796	11.02999173	0.01	0.01	0.295943146	0.01	50.37836496	10.85072476	16.27608714	30
11	0.10124279	42481.17079	75.57916667	226.7375	16.47	82.45	10.99333333	0.01	0.01	0.220059702	0.01	50.323	10.8388	16.2582	30
12	0.11377451	43027.02816	75.57916667	226.7375	16.47	82.45	10.99333333	0.01	0.01	0.227612413	0.01	50.323	10.8388	16.2582	30
13	0.12256393	39194.6172	75.10474336	225.3142301	16.36648946	81.9324473	10.92432631	0.01	0.01	0.231213642	0.01	50.42722091	10.86124758	16.29187137	30
14	0.13175957	32536.93751	73.84491538	221.5347461	16.0916179	80.5580895	10.7410786	0.01	0.01	0.232597744	0.01	50.70397884	10.92085698	16.38128547	30
15	0.14071476	26791.4459	73.24166667	219.725	15.96	79.9	10.65333333	0.01	0.01	0.239606786	0.01	50.8365	10.9494	16.4241	30
16	0.1523882	22811.71413	73.24166667	219.725	15.96	79.9	10.65333333	0.01	0.01	0.425586457	0.01	50.8365	10.9494	16.4241	30
17	0.16221423	24309.23293	71.99726386	215.9917916	15.68849393	78.54246966	10.47232929	0.01	0.01	0.755632621	0.01	50.50845679	10.87874454	16.31811681	30
18	0.17019533	26847.72327	70.4848037	211.4544111	15.35850262	76.89251312	10.25233508	0.01	0.01	1.011626804	0.01	50.10974964	10.79286915	16.18930373	30
