	Time	Q_in	S_I	S_S	X_I	X_S	X_BH	X_BA	X_P	S_O	S_NO	S_NH	S_ND	X_ND	S_ALK
0	['days']	['m3/d']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']
1	0	117706.01	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
2	0.010050305	117717.76	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
3	0.020617922	114370.89	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
4	0.030701541	116209.36	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
5	0.040668972	118849.31	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
6	0.050958401	119182.74	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
7	0.061758213	117655.36	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
8	0.072213929	116795.19	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
9	0.083320844	120670.52	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
10	0.09096195	119691.37	71.94166667	215.825	16.47	82.45	10.99333333	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
11	0.10114617	119814.93	71.94166667	215.825	16.47	82.45	10.99333333	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
12	0.11090075	117898.68	71.94166667	215.825	16.47	82.45	10.99333333	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
13	0.12038112	117455.82	71.94166667	215.825	16.47	82.45	10.99333333	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
14	0.13463353	116854.87	69.71666667	209.15	15.96	79.9	10.65333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
15	0.14181839	117733.77	69.71666667	209.15	15.96	79.9	10.65333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
16	0.15059914	119083.42	69.71666667	209.15	15.96	79.9	10.65333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
17	0.16075604	120434.97	69.71666667	209.15	15.96	79.9	10.65333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
18	0.17346051	119927.96	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	44.135	9.506	14.259	30
19	0.18312251	121147.93	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	44.135	9.506	14.259	30
20	0.19459995	121547.98	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	44.135	9.506	14.259	30
21	0.20079502	120769.43	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	44.135	9.506	14.259	30
22	0.21141947	119480.65	62.3	186.9	14.26	71.4	9.52	0.01	0.01	0.01	0.01	42.77	9.212	13.818	30
23	0.22221208	118403.87	62.3	186.9	14.26	71.4	9.52	0.01	0.01	0.01	0.01	42.77	9.212	13.818	30
24	0.2304543	117883.15	62.3	186.9	14.26	71.4	9.52	0.01	0.01	0.01	0.01	42.77	9.212	13.818	30
25	0.24044877	111757.79	62.3	186.9	14.26	71.4	9.52	0.01	0.01	0.01	0.01	42.77	9.212	13.818	30
26	0.25007911	56348.634	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
27	0.26014792	46029.259	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
28	0.27020372	40246.682	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
29	0.28043751	37700.73	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
30	0.29159958	42282.326	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
31	0.30027733	41303.96	57.10833333	171.325	13.07	65.45	8.726666667	0.01	0.01	0.01	0.01	40.495	8.722	13.083	30
32	0.31074698	42447.04	57.10833333	171.325	13.07	65.45	8.726666667	0.01	0.01	0.01	0.01	40.495	8.722	13.083	30
33	0.32018089	40801.506	57.10833333	171.325	13.07	65.45	8.726666667	0.01	0.01	0.01	0.01	40.495	8.722	13.083	30
34	0.33064928	39940.78	57.10833333	171.325	13.07	65.45	8.726666667	0.01	0.01	0.01	0.01	40.495	8.722	13.083	30
35	0.3421502	37990.989	56.36666667	169.1	12.9	64.6	8.613333333	0.01	0.01	0.01	0.01	39.585	8.526	12.789	30
36	0.35012723	41162.189	56.36666667	169.1	12.9	64.6	8.613333333	0.01	0.01	0.01	0.01	39.585	8.526	12.789	30
37	0.36025951	40946.513	56.36666667	169.1	12.9	64.6	8.613333333	0.01	0.01	0.01	0.01	39.585	8.526	12.789	30
38	0.3700219	38601.242	56.36666667	169.1	12.9	64.6	8.613333333	0.01	0.01	0.01	0.01	39.585	8.526	12.789	30
39	0.38321427	40249.033	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.405	8.918	13.377	30
40	0.39049301	39341.391	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.405	8.918	13.377	30
41	0.40208658	40722.86	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.405	8.918	13.377	30
42	0.41059116	41227.461	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.405	8.918	13.377	30
43	0.42026873	39685.998	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
44	0.43226879	40743.094	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
45	0.44072448	41040.038	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
46	0.45114792	41930.998	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
47	0.46393056	44378.176	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	49.595	10.682	16.023	30
48	0.47040642	45215.686	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	49.595	10.682	16.023	30
49	0.48139778	43160.742	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	49.595	10.682	16.023	30
50	0.49079456	44241.487	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	49.595	10.682	16.023	30
51	0.50017121	45375.18	81.58333333	244.75	18.68	93.5	12.46666667	0.01	0.01	0.01	0.01	51.415	11.074	16.611	30
52	0.510399	44745.795	81.58333333	244.75	18.68	93.5	12.46666667	0.01	0.01	0.01	0.01	51.415	11.074	16.611	30
53	0.52063362	41725.262	81.58333333	244.75	18.68	93.5	12.46666667	0.01	0.01	0.01	0.01	51.415	11.074	16.611	30
54	0.53034287	39609.911	81.58333333	244.75	18.68	93.5	12.46666667	0.01	0.01	0.01	0.01	51.415	11.074	16.611	30
55	0.54053569	56164.704	81.58333333	244.75	18.68	93.5	12.46666667	0.01	0.01	0.01	0.01	51.415	11.074	16.611	30
56	0.55173447	51967.741	85.29166667	255.875	19.53	97.75	13.03333333	0.01	0.01	0.01	0.01	50.05	10.78	16.17	30
57	0.5615294	44931.512	85.29166667	255.875	19.53	97.75	13.03333333	0.01	0.01	0.01	0.01	50.05	10.78	16.17	30
58	0.57071222	97466.265	85.29166667	255.875	19.53	97.75	13.03333333	0.01	0.01	0.01	0.01	50.05	10.78	16.17	30
59	0.58285123	117297.05	85.29166667	255.875	19.53	97.75	13.03333333	0.01	0.01	0.01	0.01	50.05	10.78	16.17	30
60	0.59108886	118977.99	87.51666667	262.55	20.04	100.3	13.37333333	0.01	0.01	0.01	0.01	47.32	10.192	15.288	30
61	0.60263813	118259.39	87.51666667	262.55	20.04	100.3	13.37333333	0.01	0.01	0.01	0.01	47.32	10.192	15.288	30
62	0.61089058	117914.81	87.51666667	262.55	20.04	100.3	13.37333333	0.01	0.01	0.01	0.01	47.32	10.192	15.288	30
63	0.62097299	117906.63	87.51666667	262.55	20.04	100.3	13.37333333	0.01	0.01	0.01	0.01	47.32	10.192	15.288	30
64	0.63038919	119387.62	87.51666667	262.55	20.04	100.3	13.37333333	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
65	0.64286934	121021.43	87.51666667	262.55	20.04	100.3	13.37333333	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
66	0.65238133	120867.25	87.51666667	262.55	20.04	100.3	13.37333333	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
67	0.66284249	120123.92	87.51666667	262.55	20.04	100.3	13.37333333	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
68	0.67286975	117676.81	86.775	260.325	19.87	99.45	13.26	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
69	0.68054648	117300.23	86.775	260.325	19.87	99.45	13.26	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
70	0.69138789	92073.903	86.775	260.325	19.87	99.45	13.26	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
71	0.70197555	44282.25	86.775	260.325	19.87	99.45	13.26	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
72	0.71262215	41308.047	83.80833333	251.425	19.19	96.05	12.80666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
73	0.72025448	41318.26	83.80833333	251.425	19.19	96.05	12.80666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
74	0.73000589	41642.184	83.80833333	251.425	19.19	96.05	12.80666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
75	0.74050781	38195.815	83.80833333	251.425	19.19	96.05	12.80666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
76	0.75016641	42251.576	80.84166667	242.525	18.51	92.65	12.35333333	0.01	0.01	0.01	0.01	48.23	10.388	15.582	30
77	0.76040951	42543.543	80.84166667	242.525	18.51	92.65	12.35333333	0.01	0.01	0.01	0.01	48.23	10.388	15.582	30
78	0.77048288	38262.984	80.84166667	242.525	18.51	92.65	12.35333333	0.01	0.01	0.01	0.01	48.23	10.388	15.582	30
79	0.78020276	44782.74	80.84166667	242.525	18.51	92.65	12.35333333	0.01	0.01	0.01	0.01	48.23	10.388	15.582	30
80	0.79068615	40684.374	80.84166667	242.525	18.51	92.65	12.35333333	0.01	0.01	0.01	0.01	48.23	10.388	15.582	30
81	0.80164747	36482.055	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	48.685	10.486	15.729	30
82	0.81248437	36520.947	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	48.685	10.486	15.729	30
83	0.82070856	36105.974	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	48.685	10.486	15.729	30
84	0.8309936	39224.762	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	48.685	10.486	15.729	30
85	0.84126991	45971.544	77.875	233.625	17.83	89.25	11.9	0.01	0.01	0.01	0.01	46.865	10.094	15.141	30
86	0.85150417	45007.856	77.875	233.625	17.83	89.25	11.9	0.01	0.01	0.01	0.01	46.865	10.094	15.141	30
87	0.86064312	44274.995	77.875	233.625	17.83	89.25	11.9	0.01	0.01	0.01	0.01	46.865	10.094	15.141	30
88	0.8739702	43374.889	77.875	233.625	17.83	89.25	11.9	0.01	0.01	0.01	0.01	46.865	10.094	15.141	30
89	0.88408527	42982.648	77.875	233.625	17.83	89.25	11.9	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
90	0.89250354	43207.765	77.875	233.625	17.83	89.25	11.9	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
91	0.90064493	41412.597	77.875	233.625	17.83	89.25	11.9	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
92	0.91283874	38858.623	77.875	233.625	17.83	89.25	11.9	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
93	0.92301489	38272.616	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
94	0.93157368	40711.292	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
95	0.94249372	45171.333	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
96	0.95390383	46110.593	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
97	0.96035692	45832.486	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
98	0.97021905	44241.638	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
99	0.98157311	40434.704	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
100	0.99025556	39740.632	79.35833333	238.075	18.17	90.95	12.12666667	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
101	1.0001167	44146.575	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
102	1.0105764	45304.477	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
103	1.0203517	45716.711	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
104	1.0313554	44896.054	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
105	1.0414925	44072.337	75.65	226.95	17.32	86.7	11.56	0.01	0.01	0.01	0.01	45.5	9.8	14.7	30
106	1.051761	47022.123	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
107	1.0601467	49460.8	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
108	1.0718365	44486.639	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
109	1.0825568	48840.032	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
110	1.091286	48751.534	71.94166667	215.825	16.47	82.45	10.99333333	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
111	1.1007662	48286.729	71.94166667	215.825	16.47	82.45	10.99333333	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
112	1.1102346	56008.952	71.94166667	215.825	16.47	82.45	10.99333333	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
113	1.1209794	49728.99	71.94166667	215.825	16.47	82.45	10.99333333	0.01	0.01	0.01	0.01	44.59	9.604	14.406	30
114	1.1306081	43754.97	69.71666667	209.15	15.96	79.9	10.65333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
115	1.1432724	43005.747	69.71666667	209.15	15.96	79.9	10.65333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
116	1.1521165	36940.868	69.71666667	209.15	15.96	79.9	10.65333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
117	1.16116	37051.359	69.71666667	209.15	15.96	79.9	10.65333333	0.01	0.01	0.01	0.01	45.045	9.702	14.553	30
118	1.1744915	40741.087	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	44.135	9.506	14.259	30
119	1.1811859	40236.542	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	44.135	9.506	14.259	30
120	1.1922237	41982.436	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	44.135	9.506	14.259	30
121	1.2030967	42485.196	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	44.135	9.506	14.259	30
122	1.2118198	39133.82	62.3	186.9	14.26	71.4	9.52	0.01	0.01	0.01	0.01	42.77	9.212	13.818	30
123	1.2200463	37302.733	62.3	186.9	14.26	71.4	9.52	0.01	0.01	0.01	0.01	42.77	9.212	13.818	30
124	1.2331339	38587.831	62.3	186.9	14.26	71.4	9.52	0.01	0.01	0.01	0.01	42.77	9.212	13.818	30
125	1.240223	38090.773	62.3	186.9	14.26	71.4	9.52	0.01	0.01	0.01	0.01	42.77	9.212	13.818	30
126	1.2501152	40925.839	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
127	1.2602852	46746.432	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
128	1.2701712	40056.489	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
129	1.2803004	45054.723	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
130	1.2912765	42934.337	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.86	9.016	13.524	30
131	1.3013362	43486.794	57.10833333	171.325	13.07	65.45	8.726666667	0.01	0.01	0.01	0.01	40.495	8.722	13.083	30
132	1.3117986	42317.618	57.10833333	171.325	13.07	65.45	8.726666667	0.01	0.01	0.01	0.01	40.495	8.722	13.083	30
133	1.3211996	42122.614	57.10833333	171.325	13.07	65.45	8.726666667	0.01	0.01	0.01	0.01	40.495	8.722	13.083	30
134	1.3302304	43270.321	57.10833333	171.325	13.07	65.45	8.726666667	0.01	0.01	0.01	0.01	40.495	8.722	13.083	30
135	1.3418517	42517.765	56.36666667	169.1	12.9	64.6	8.613333333	0.01	0.01	0.01	0.01	39.585	8.526	12.789	30
136	1.3532182	41825.383	56.36666667	169.1	12.9	64.6	8.613333333	0.01	0.01	0.01	0.01	39.585	8.526	12.789	30
137	1.3627829	45734.427	56.36666667	169.1	12.9	64.6	8.613333333	0.01	0.01	0.01	0.01	39.585	8.526	12.789	30
138	1.3717392	44907.4	56.36666667	169.1	12.9	64.6	8.613333333	0.01	0.01	0.01	0.01	39.585	8.526	12.789	30
139	1.3832771	43019.537	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.405	8.918	13.377	30
140	1.3918872	43899.845	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.405	8.918	13.377	30
141	1.4020714	44173.046	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.405	8.918	13.377	30
142	1.414235	44626.227	59.33333333	178	13.58	68	9.066666667	0.01	0.01	0.01	0.01	41.405	8.918	13.377	30
143	1.4214936	46968.482	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
144	1.4328023	47064.044	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
145	1.4416009	47587.803	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
146	1.4508487	49645.578	66.00833333	198.025	15.11	75.65	10.08666667	0.01	0.01	0.01	0.01	46.41	9.996	14.994	30
147	1.460943	49000.798	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	49.595	10.682	16.023	30
148	1.4725482	55927.938	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	49.595	10.682	16.023	30
149	1.4817978	46905.191	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	49.595	10.682	16.023	30
150	1.4900669	42639.079	74.16666667	222.5	16.98	85	11.33333333	0.01	0.01	0.01	0.01	49.595	10.682	16.023	30
151	1.5000662	46487.719	81.58333333	244.75	18.68	93.5	12.46666667	0.01	0.01	0.01	0.01	51.415	11.074	16.611	30
