	Time	Q_in	S_I	S_S	X_I	X_S	X_BH	X_BA	X_P	S_O	S_NO	S_NH	S_ND	X_ND	S_ALK
0	['days']	['m3/d']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']	['mg/L']
1	0	117706.0118	73.695	221.085	17.728	88.74	11.832	0.01	0.01	0.300611781	0.01	44.2	9.52	14.28	30
2	0.010293505	117718.0494	73.695	221.085	17.728	88.74	11.832	0.01	0.01	0.286134891	0.01	44.2	9.52	14.28	30
3	0.020640946	114364.3817	73.695	221.085	17.728	88.74	11.832	0.01	0.01	0.303244154	0.01	44.2	9.52	14.28	30
4	0.030113932	116095.7065	73.695	221.085	17.728	88.74	11.832	0.01	0.01	0.282117522	0.01	44.2	9.52	14.28	30
5	0.041560958	119090.1687	73.695	221.085	17.728	88.74	11.832	0.01	0.01	0.28401088	0.01	44.2	9.52	14.28	30
6	0.051873211	119189.0292	72.25	216.75	17.38	87	11.6	0.01	0.01	0.307935344	0.01	43.758	9.4248	14.1372	30
7	0.060633416	117833.8665	72.25	216.75	17.38	87	11.6	0.01	0.01	0.263600356	0.01	43.758	9.4248	14.1372	30
8	0.071421615	116855.5302	72.25	216.75	17.38	87	11.6	0.01	0.01	0.28365714	0.01	43.758	9.4248	14.1372	30
9	0.080518858	119611.3872	72.25	216.75	17.38	87	11.6	0.01	0.01	0.289877883	0.01	43.758	9.4248	14.1372	30
10	0.093621479	119348.9682	70.0825	210.2475	16.858	84.39	11.252	0.01	0.01	0.277878086	0.01	43.316	9.3296	13.9944	30
11	0.10028635	119758.9706	70.0825	210.2475	16.858	84.39	11.252	0.01	0.01	0.300891349	0.01	43.316	9.3296	13.9944	30
12	0.11125196	117788.774	70.0825	210.2475	16.858	84.39	11.252	0.01	0.01	0.454973465	0.01	43.316	9.3296	13.9944	30
13	0.12372396	117866.3158	70.0825	210.2475	16.858	84.39	11.252	0.01	0.01	0.605680085	0.01	43.316	9.3296	13.9944	30
14	0.13289245	117065.6943	67.915	203.745	16.336	81.78	10.904	0.01	0.01	0.682927099	0.01	43.758	9.4248	14.1372	30
15	0.14049592	117532.4155	67.915	203.745	16.336	81.78	10.904	0.01	0.01	0.793415657	0.01	43.758	9.4248	14.1372	30
16	0.15032551	119040.7397	67.915	203.745	16.336	81.78	10.904	0.01	0.01	0.973882099	0.01	43.758	9.4248	14.1372	30
17	0.16140979	120504.2227	67.915	203.745	16.336	81.78	10.904	0.01	0.01	1.209292225	0.01	43.758	9.4248	14.1372	30
18	0.17254271	120081.0194	64.3025	192.9075	15.466	77.43	10.324	0.01	0.01	1.483740883	0.01	42.874	9.2344	13.8516	30
19	0.18396998	121403.3078	64.3025	192.9075	15.466	77.43	10.324	0.01	0.01	1.638791344	0.01	42.874	9.2344	13.8516	30
20	0.19248176	121822.495	64.3025	192.9075	15.466	77.43	10.324	0.01	0.01	1.693920683	0.01	42.874	9.2344	13.8516	30
21	0.20122931	120716.7201	64.3025	192.9075	15.466	77.43	10.324	0.01	0.01	1.760689163	0.01	42.874	9.2344	13.8516	30
22	0.21187713	119425.0895	60.69	182.07	14.596	73.08	9.744	0.01	0.01	1.765469534	0.01	41.548	8.9488	13.4232	30
23	0.22134151	118449.7377	60.69	182.07	14.596	73.08	9.744	0.01	0.01	1.577257936	0.01	41.548	8.9488	13.4232	30
24	0.23037887	117891.8756	60.69	182.07	14.596	73.08	9.744	0.01	0.01	1.305720102	0.01	41.548	8.9488	13.4232	30
25	0.24001028	114316.3811	60.69	182.07	14.596	73.08	9.744	0.01	0.01	1.069915299	0.01	41.548	8.9488	13.4232	30
26	0.25035344	56067.3648	57.8	173.4	13.9	69.6	9.28	0.01	0.01	0.856994677	0.01	40.664	8.7584	13.1376	30
27	0.26013505	46039.12603	57.8	173.4	13.9	69.6	9.28	0.01	0.01	0.765148793	0.01	40.664	8.7584	13.1376	30
28	0.27009552	40309.15512	57.8	173.4	13.9	69.6	9.28	0.01	0.01	0.606729872	0.01	40.664	8.7584	13.1376	30
29	0.2809436	37585.19915	57.8	173.4	13.9	69.6	9.28	0.01	0.01	0.603243407	0.01	40.664	8.7584	13.1376	30
30	0.29013491	41608.99529	57.8	173.4	13.9	69.6	9.28	0.01	0.01	0.52275073	0.01	40.664	8.7584	13.1376	30
31	0.30057577	41269.19076	55.6325	166.8975	13.378	66.99	8.932	0.01	0.01	0.428213242	0.01	39.338	8.4728	12.7092	30
32	0.31060835	42425.27532	55.6325	166.8975	13.378	66.99	8.932	0.01	0.01	0.500765143	0.01	39.338	8.4728	12.7092	30
33	0.32226438	40280.03275	55.6325	166.8975	13.378	66.99	8.932	0.01	0.01	0.525845159	0.01	39.338	8.4728	12.7092	30
34	0.33311108	39884.73755	55.6325	166.8975	13.378	66.99	8.932	0.01	0.01	0.47795514	0.01	39.338	8.4728	12.7092	30
35	0.34337196	37729.3984	54.91	164.73	13.204	66.12	8.816	0.01	0.01	0.483030809	0.01	38.454	8.2824	12.4236	30
36	0.35086437	41569.59725	54.91	164.73	13.204	66.12	8.816	0.01	0.01	0.365604445	0.01	38.454	8.2824	12.4236	30
37	0.36302096	39839.52116	54.91	164.73	13.204	66.12	8.816	0.01	0.01	0.32588267	0.01	38.454	8.2824	12.4236	30
38	0.37193247	38386.54491	54.91	164.73	13.204	66.12	8.816	0.01	0.01	0.332682593	0.01	38.454	8.2824	12.4236	30
39	0.381909	39898.85276	57.8	173.4	13.9	69.6	9.28	0.01	0.01	0.315638881	0.01	40.222	8.6632	12.9948	30
40	0.3925922	38720.90071	57.8	173.4	13.9	69.6	9.28	0.01	0.01	0.301929571	0.01	40.222	8.6632	12.9948	30
41	0.40171703	40547.34089	57.8	173.4	13.9	69.6	9.28	0.01	0.01	0.305516994	0.01	40.222	8.6632	12.9948	30
42	0.41114638	41039.55113	57.8	173.4	13.9	69.6	9.28	0.01	0.01	0.316149762	0.01	40.222	8.6632	12.9948	30
43	0.42131736	39834.6788	64.3025	192.9075	15.466	77.43	10.324	0.01	0.01	0.325357812	0.01	45.084	9.7104	14.5656	30
44	0.43111854	40722.73256	64.3025	192.9075	15.466	77.43	10.324	0.01	0.01	0.320981571	0.01	45.084	9.7104	14.5656	30
45	0.44189357	41114.27503	64.3025	192.9075	15.466	77.43	10.324	0.01	0.01	0.31081236	0.01	45.084	9.7104	14.5656	30
46	0.4504462	41836.7514	64.3025	192.9075	15.466	77.43	10.324	0.01	0.01	0.319561573	0.01	45.084	9.7104	14.5656	30
47	0.46030781	43419.97848	72.25	216.75	17.38	87	11.6	0.01	0.01	0.339813683	0.01	48.178	10.3768	15.5652	30
48	0.47035629	45228.75282	72.25	216.75	17.38	87	11.6	0.01	0.01	0.31533152	0.01	48.178	10.3768	15.5652	30
49	0.48112217	43129.66073	72.25	216.75	17.38	87	11.6	0.01	0.01	0.285365586	0.01	48.178	10.3768	15.5652	30
50	0.49350527	44578.16769	72.25	216.75	17.38	87	11.6	0.01	0.01	0.286007278	0.01	48.178	10.3768	15.5652	30
51	0.50012341	45378.11896	79.475	238.425	19.12	95.7	12.76	0.01	0.01	0.275285522	0.01	49.946	10.7576	16.1364	30
52	0.51035341	44748.39604	79.475	238.425	19.12	95.7	12.76	0.01	0.01	0.319702218	0.01	49.946	10.7576	16.1364	30
53	0.52008311	41888.83999	79.475	238.425	19.12	95.7	12.76	0.01	0.01	0.314042193	0.01	49.946	10.7576	16.1364	30
54	0.53016707	39648.00571	79.475	238.425	19.12	95.7	12.76	0.01	0.01	0.313870412	0.01	49.946	10.7576	16.1364	30
55	0.54142653	57777.61567	79.475	238.425	19.12	95.7	12.76	0.01	0.01	0.29903305	0.01	49.946	10.7576	16.1364	30
56	0.55051561	52725.2737	83.0875	249.2625	19.99	100.05	13.34	0.01	0.01	0.31732137	0.01	48.62	10.472	15.708	30
57	0.56000123	46035.33528	83.0875	249.2625	19.99	100.05	13.34	0.01	0.01	0.253628467	0.01	48.62	10.472	15.708	30
58	0.57202633	106004.6843	83.0875	249.2625	19.99	100.05	13.34	0.01	0.01	0.240460756	0.01	48.62	10.472	15.708	30
59	0.58003204	115729.7006	83.0875	249.2625	19.99	100.05	13.34	0.01	0.01	0.241793433	0.01	48.62	10.472	15.708	30
60	0.59133405	119022.5612	85.255	255.765	20.512	102.66	13.688	0.01	0.01	0.265482755	0.01	45.968	9.9008	14.8512	30
61	0.6025864	118266.0169	85.255	255.765	20.512	102.66	13.688	0.01	0.01	0.246318444	0.01	45.968	9.9008	14.8512	30
62	0.61361903	117859.2018	85.255	255.765	20.512	102.66	13.688	0.01	0.01	0.217079261	0.01	45.968	9.9008	14.8512	30
63	0.6234006	117932.099	85.255	255.765	20.512	102.66	13.688	0.01	0.01	0.227737807	0.01	45.968	9.9008	14.8512	30
64	0.63265151	119992.2345	85.255	255.765	20.512	102.66	13.688	0.01	0.01	0.21134767	0.01	45.084	9.7104	14.5656	30
