t	X_CHL	X_ALG	X_PG	X_TAG	S_CO2	S_A	S_G	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.003472222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.006944444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.010416667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.013888889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.017361111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.020833333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.024305556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.027777778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.03125	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.034722222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.038194444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.041666667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.045138889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.048611111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.052083333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.055555556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.059027778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.0625	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.065972222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.069444444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.072916667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.076388889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.079861111	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.083333333	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.086805556	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.090277778	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.09375	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.097222222	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.100694444	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.104166667	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
0.107638889	0	0	0	0	30	5	5	5	0.07	23.99	0.78	0	0	1000
