t	X_CHL	X_ALG	X_CH	X_LI	S_CO2	S_A	S_F	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0	0	0	0	0	30	5	5	5	27.12	1.32	0.37	0	0	445.26
0.003472222	0	0	0	0	30	5	5	5	27.12	1.32	0.37	0	0	445.26
0.006944444	0	0	0	0	30	5	5	5	27.11	1.32	0.37	0	0	445.26
0.010416667	0	0	0	0	30	5	5	5	27.11	1.32	0.37	0	0	445.26
0.013888889	0	0	0	0	30	5	5	5	27.1	1.32	0.37	0	0	445.26
0.017361111	0	0	0	0	30	5	5	5	27.1	1.32	0.37	0	0	445.26
0.020833333	0	0	0	0	30	5	5	5	27.1	1.32	0.38	0	0	445.26
0.024305556	0	0	0	0	30	5	5	5	27.09	1.32	0.38	0	0	445.26
0.027777778	0	0	0	0	30	5	5	5	27.09	1.32	0.38	0	0	445.26
0.03125	0	0	0	0	30	5	5	5	27.08	1.32	0.38	0	0	445.26
0.034722222	0	0	0	0	30	5	5	5	27.08	1.32	0.38	0	0	445.26
0.038194444	0	0	0	0	30	5	5	5	27.08	1.32	0.38	0	0	445.26
0.041666667	0	0	0	0	30	5	5	5	27.07	1.32	0.38	0	0	445.26
0.045138889	0	0	0	0	30	5	5	5	27.07	1.32	0.38	0	0	445.26
0.048611111	0	0	0	0	30	5	5	5	27.06	1.32	0.38	0	0	445.26
0.052083333	0	0	0	0	30	5	5	5	27.06	1.32	0.38	0	0	445.26
0.055555556	0	0	0	0	30	5	5	5	27.06	1.32	0.38	0	0	445.26
0.059027778	0	0	0	0	30	5	5	5	27.05	1.32	0.38	0	0	445.26
0.0625	0	0	0	0	30	5	5	5	27.05	1.32	0.38	0	0	445.26
0.065972222	0	0	0	0	30	5	5	5	27.04	1.32	0.38	0	0	445.26
0.069444444	0	0	0	0	30	5	5	5	27.04	1.32	0.38	0	0	445.26
0.072916667	0	0	0	0	30	5	5	5	27.04	1.32	0.38	0	0	445.26
0.076388889	0	0	0	0	30	5	5	5	27.03	1.32	0.38	0	0	445.26
0.079861111	0	0	0	0	30	5	5	5	27.03	1.32	0.38	0	0	445.26
0.083333333	0	0	0	0	30	5	5	5	27.02	1.32	0.38	0	0	445.26
0.086805556	0	0	0	0	30	5	5	5	27.02	1.32	0.38	0	0	445.26
0.090277778	0	0	0	0	30	5	5	5	27.02	1.32	0.38	0	0	445.26
0.09375	0	0	0	0	30	5	5	5	27.01	1.32	0.38	0	0	445.26
0.097222222	0	0	0	0	30	5	5	5	27.01	1.32	0.38	0	0	445.26
0.100694444	0	0	0	0	30	5	5	5	27.01	1.32	0.38	0	0	445.26
0.104166667	0	0	0	0	30	5	5	5	27	1.32	0.38	0	0	445.26
0.107638889	0	0	0	0	30	5	5	5	27	1.32	0.38	0	0	445.26
0.111111111	0	0	0	0	30	5	5	5	26.99	1.32	0.38	0	0	445.26
0.114583333	0	0	0	0	30	5	5	5	26.99	1.32	0.38	0	0	445.26
0.118055556	0	0	0	0	30	5	5	5	26.99	1.32	0.38	0	0	445.26
0.121527778	0	0	0	0	30	5	5	5	26.98	1.32	0.38	0	0	445.26
0.125	0	0	0	0	30	5	5	5	26.98	1.32	0.38	0	0	445.26
0.128472222	0	0	0	0	30	5	5	5	26.97	1.32	0.38	0	0	445.26
0.131944444	0	0	0	0	30	5	5	5	26.97	1.32	0.38	0	0	445.26
