t	X_CHL	X_ALG	X_PG	X_TAG	S_CO2	S_A	S_G	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0	0	0	0	0	30	5	5	5	13.61830481	13.75	0.34891114	0	0	425.0913008
0.003472222	0	0	0	0	30	5	5	5	13.61343598	13.75	0.349024618	0	0	425.0913008
0.006944444	0	0	0	0	30	5	5	5	13.60856716	13.75	0.349139044	0	0	425.0913008
0.010416667	0	0	0	0	30	5	5	5	13.60369833	13.75	0.349254419	0	0	425.0913008
0.013888889	0	0	0	0	30	5	5	5	13.5988295	13.75	0.349370745	0	0	425.0913008
0.017361111	0	0	0	0	30	5	5	5	13.59396068	13.75	0.349488024	0	0	425.0913008
0.020833333	0	0	0	0	30	5	5	5	13.58909185	13.75	0.349606257	0	0	425.0913008
0.024305556	0	0	0	0	30	5	5	5	13.58422303	13.75	0.349725445	0	0	425.0913008
0.027777778	0	0	0	0	30	5	5	5	13.5793542	13.75	0.349845591	0	0	425.0913008
0.03125	0	0	0	0	30	5	5	5	13.57448537	13.75	0.349966696	0	0	425.0913008
0.034722222	0	0	0	0	30	5	5	5	13.56961655	13.75	0.35008876	0	0	425.0913008
0.038194444	0	0	0	0	30	5	5	5	13.56474772	13.75	0.350211787	0	0	425.0913008
0.041666667	0	0	0	0	30	5	5	5	13.55987889	13.75	0.350335777	0	0	425.0913008
0.045138889	0	0	0	0	30	5	5	5	13.55501007	13.75	0.350460731	0	0	425.0913008
0.048611111	0	0	0	0	30	5	5	5	13.55014124	13.75	0.350586652	0	0	425.0913008
0.052083333	0	0	0	0	30	5	5	5	13.54527242	13.75	0.35071354	0	0	425.0913008
0.055555556	0	0	0	0	30	5	5	5	13.54040359	13.75	0.350841397	0	0	425.0913008
0.059027778	0	0	0	0	30	5	5	5	13.53553476	13.75	0.350970224	0	0	425.0913008
0.0625	0	0	0	0	30	5	5	5	13.53066594	13.75	0.351100022	0	0	425.0913008
0.065972222	0	0	0	0	30	5	5	5	13.52579711	13.75	0.351230793	0	0	425.0913008
0.069444444	0	0	0	0	30	5	5	5	13.52092828	13.75	0.351362539	0	0	425.0913008
0.072916667	0	0	0	0	30	5	5	5	13.51605946	13.75	0.351495259	0	0	425.0913008
0.076388889	0	0	0	0	30	5	5	5	13.51119063	13.75	0.351628956	0	0	425.0913008
0.079861111	0	0	0	0	30	5	5	5	13.5063218	13.75	0.351763631	0	0	425.0913008
0.083333333	0	0	0	0	30	5	5	5	13.50145298	13.75	0.351899285	0	0	425.0913008
0.086805556	0	0	0	0	30	5	5	5	13.49658415	13.75	0.352035919	0	0	425.0913008
0.090277778	0	0	0	0	30	5	5	5	13.49171533	13.75	0.352173535	0	0	425.0913008
0.09375	0	0	0	0	30	5	5	5	13.4868465	13.75	0.352312132	0	0	425.0913008
0.097222222	0	0	0	0	30	5	5	5	13.48197767	13.75	0.352451714	0	0	425.0913008
0.100694444	0	0	0	0	30	5	5	5	13.47710885	13.75	0.352592279	0	0	425.0913008
0.104166667	0	0	0	0	30	5	5	5	13.47224002	13.75	0.352733831	0	0	425.0913008
0.107638889	0	0	0	0	30	5	5	5	13.46737119	13.75	0.352876369	0	0	425.0913008
0.111111111	0	0	0	0	30	5	5	5	13.46250237	13.75	0.353019895	0	0	425.0913008
0.114583333	0	0	0	0	30	5	5	5	13.45763354	13.75	0.353164409	0	0	425.0913008
0.118055556	0	0	0	0	30	5	5	5	13.45276472	13.75	0.353309913	0	0	425.0913008
0.121527778	0	0	0	0	30	5	5	5	13.44789589	13.75	0.353456407	0	0	425.0913008
