t	X_CHL	X_ALG	X_PG	X_TAG	S_CO2	S_A	S_G	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0	0	0	0	0	30	5	5	5	20.72378356	14.46	0.636796289	0	0	422.853238
0.003472222	0	0	0	0	30	5	5	5	20.72633127	14.46	0.636548543	0	0	422.853238
0.006944444	0	0	0	0	30	5	5	5	20.72887898	14.46	0.636299393	0	0	422.853238
0.010416667	0	0	0	0	30	5	5	5	20.73142668	14.46	0.636048831	0	0	422.853238
0.013888889	0	0	0	0	30	5	5	5	20.73397439	14.46	0.635796847	0	0	422.853238
0.017361111	0	0	0	0	30	5	5	5	20.7365221	14.46	0.635543434	0	0	422.853238
0.020833333	0	0	0	0	30	5	5	5	20.73906981	14.46	0.635288583	0	0	422.853238
0.024305556	0	0	0	0	30	5	5	5	20.74161752	14.46	0.635032286	0	0	422.853238
0.027777778	0	0	0	0	30	5	5	5	20.74416523	14.46	0.634774533	0	0	422.853238
0.03125	0	0	0	0	30	5	5	5	20.74671293	14.46	0.634515318	0	0	422.853238
0.034722222	0	0	0	0	30	5	5	5	20.74926064	14.46	0.63425463	0	0	422.853238
0.038194444	0	0	0	0	30	5	5	5	20.75180835	14.46	0.633992461	0	0	422.853238
0.041666667	0	0	0	0	30	5	5	5	20.75435606	14.46	0.633728803	0	0	422.853238
0.045138889	0	0	0	0	30	5	5	5	20.75690377	14.46	0.633463647	0	0	422.853238
0.048611111	0	0	0	0	30	5	5	5	20.75945148	14.46	0.633196984	0	0	422.853238
0.052083333	0	0	0	0	30	5	5	5	20.76199918	14.46	0.632928807	0	0	422.853238
0.055555556	0	0	0	0	30	5	5	5	20.76454689	14.46	0.632659105	0	0	422.853238
0.059027778	0	0	0	0	30	5	5	5	20.7670946	14.46	0.63238787	0	0	422.853238
0.0625	0	0	0	0	30	5	5	5	20.76964231	14.46	0.632115094	0	0	422.853238
0.065972222	0	0	0	0	30	5	5	5	20.77219002	14.46	0.631840768	0	0	422.853238
0.069444444	0	0	0	0	30	5	5	5	20.77473773	14.46	0.631564883	0	0	422.853238
0.072916667	0	0	0	0	30	5	5	5	20.77728543	14.46	0.63128743	0	0	422.853238
0.076388889	0	0	0	0	30	5	5	5	20.77983314	14.46	0.6310084	0	0	422.853238
0.079861111	0	0	0	0	30	5	5	5	20.78238085	14.46	0.630727785	0	0	422.853238
0.083333333	0	0	0	0	30	5	5	5	20.78492856	14.46	0.630445576	0	0	422.853238
0.086805556	0	0	0	0	30	5	5	5	20.78747627	14.46	0.630161764	0	0	422.853238
0.090277778	0	0	0	0	30	5	5	5	20.79002398	14.46	0.62987634	0	0	422.853238
0.09375	0	0	0	0	30	5	5	5	20.79257168	14.46	0.629589295	0	0	422.853238
0.097222222	0	0	0	0	30	5	5	5	20.79511939	14.46	0.62930062	0	0	422.853238
0.100694444	0	0	0	0	30	5	5	5	20.7976671	14.46	0.629010307	0	0	422.853238
0.104166667	0	0	0	0	30	5	5	5	20.80021481	14.46	0.628718347	0	0	422.853238
0.107638889	0	0	0	0	30	5	5	5	20.80276252	14.46	0.62842473	0	0	422.853238
0.111111111	0	0	0	0	30	5	5	5	20.80531023	14.46	0.628129447	0	0	422.853238
0.114583333	0	0	0	0	30	5	5	5	20.80785793	14.46	0.627832491	0	0	422.853238
0.118055556	0	0	0	0	30	5	5	5	20.81040564	14.46	0.627533851	0	0	422.853238
0.121527778	0	0	0	0	30	5	5	5	20.81295335	14.46	0.627233519	0	0	422.853238
0.125	0	0	0	0	30	5	5	5	20.81550106	14.46	0.626931487	0	0	422.853238
0.128472222	0	0	0	0	30	5	5	5	20.81804877	14.46	0.626627744	0	0	422.853238
0.131944444	0	0	0	0	30	5	5	5	20.82059648	14.46	0.626322282	0	0	422.853238
0.135416667	0	0	0	0	30	5	5	5	20.82314419	14.46	0.626015092	0	0	422.853238
0.138888889	0	0	0	0	30	5	5	5	20.82569189	14.46	0.625706165	0	0	422.853238
0.142361111	0	0	0	0	30	5	5	5	20.8282396	14.46	0.625395492	0	0	422.853238
0.145833333	0	0	0	0	30	5	5	5	20.83078731	14.46	0.625083063	0	0	422.853238
0.149305556	0	0	0	0	30	5	5	5	20.83333502	14.46	0.624768871	0	0	422.853238
0.152777778	0	0	0	0	30	5	5	5	20.83588273	14.46	0.624452906	0	0	422.853238
0.15625	0	0	0	0	30	5	5	5	20.83843044	14.46	0.624135159	0	0	422.853238
0.159722222	0	0	0	0	30	5	5	5	20.84097814	14.46	0.623815621	0	0	422.853238
0.163194444	0	0	0	0	30	5	5	5	20.84352585	14.46	0.623494283	0	0	422.853238
0.166666667	0	0	0	0	30	5	5	5	20.84607356	14.46	0.623171135	0	0	422.853238
0.170138889	0	0	0	0	30	5	5	5	20.84862127	14.46	0.62284617	0	0	422.853238
0.173611111	0	0	0	0	30	5	5	5	20.85116898	14.46	0.622519377	0	0	422.853238
0.177083333	0	0	0	0	30	5	5	5	20.85371669	14.46	0.622190749	0	0	422.853238
0.180555556	0	0	0	0	30	5	5	5	20.85626439	14.46	0.621860275	0	0	422.853238
0.184027778	0	0	0	0	30	5	5	5	20.8588121	14.46	0.621527947	0	0	422.853238
0.1875	0	0	0	0	30	5	5	5	20.86135981	14.46	0.621193756	0	0	422.853238
0.190972222	0	0	0	0	30	5	5	5	20.86390752	14.46	0.620857693	0	0	422.853238
0.194444444	0	0	0	0	30	5	5	5	20.86645523	14.46	0.620519749	0	0	422.853238
0.197916667	0	0	0	0	30	5	5	5	20.86900294	14.46	0.620179914	0	0	422.853238
0.201388889	0	0	0	0	30	5	5	5	20.87155064	14.46	0.619838181	0	0	422.853238
0.204861111	0	0	0	0	30	5	5	5	20.87409835	14.46	0.619494539	0	0	422.853238
0.208333333	0	0	0	0	30	5	5	5	20.87664606	14.46	0.61914898	0	0	422.853238
0.211805556	0	0	0	0	30	5	5	5	20.87919377	14.46	0.618801496	0	0	422.853238
0.215277778	0	0	0	0	30	5	5	5	20.88174148	14.46	0.618452076	0	0	422.853238
0.21875	0	0	0	0	30	5	5	5	20.88428919	14.46	0.618100712	0	0	422.853238
0.222222222	0	0	0	0	30	5	5	5	20.88683689	14.46	0.617747395	0	0	422.853238
0.225694444	0	0	0	0	30	5	5	5	20.8893846	14.46	0.617392116	0	0	422.853238
0.229166667	0	0	0	0	30	5	5	5	20.89193231	14.46	0.617034867	0	0	422.853238
0.232638889	0	0	0	0	30	5	5	5	20.89448002	14.46	0.616675637	0	0	422.853238
0.236111111	0	0	0	0	30	5	5	5	20.89702773	14.46	0.61631442	0	0	422.853238
0.239583333	0	0	0	0	30	5	5	5	20.89957544	14.46	0.615951204	0	0	422.853238
0.243055556	0	0	0	0	30	5	5	5	20.90212314	14.46	0.615585982	0	0	422.853238
0.246527778	0	0	0	0	30	5	5	5	20.90467085	14.46	0.615218745	0	0	422.853238
0.25	0	0	0	0	30	5	5	5	20.90721856	14.46	0.614849484	0	0	422.853238
0.253472222	0	0	0	0	30	5	5	5	20.90976627	14.46	0.61447819	0	0	422.853238
0.256944444	0	0	0	0	30	5	5	5	20.91231398	14.46	0.614104854	0	0	422.853238
0.260416667	0	0	0	0	30	5	5	5	20.91486169	14.46	0.613729467	0	0	422.853238
0.263888889	0	0	0	0	30	5	5	5	20.91740939	14.46	0.613352021	0	0	422.853238
0.267361111	0	0	0	0	30	5	5	5	20.9199571	14.46	0.612972507	0	0	422.853238
0.270833333	0	0	0	0	30	5	5	5	20.92250481	14.46	0.612590916	0	0	422.853238
0.274305556	0	0	0	0	30	5	5	5	20.92505252	14.46	0.612207239	0	0	422.853238
0.277777778	0	0	0	0	30	5	5	5	20.92760023	14.46	0.611821468	0	0	422.853238
0.28125	0	0	0	0	30	5	5	5	20.93014794	14.46	0.611433594	0	0	422.853238
0.284722222	0	0	0	0	30	5	5	5	20.93269565	14.46	0.611043608	0	0	422.853238
0.288194444	0	0	0	0	30	5	5	5	20.93524335	14.46	0.610651501	0	0	422.853238
0.291666667	0	0	0	0	30	5	5	5	20.93779106	14.46	0.610257266	0	0	422.853238
0.295138889	0	0	0	0	30	5	5	5	20.94033877	14.46	0.609860893	0	0	422.853238
0.298611111	0	0	0	0	30	5	5	5	20.94288648	14.46	0.609462373	0	0	422.853238
0.302083333	0	0	0	0	30	5	5	5	20.94543419	14.46	0.609061699	0	0	422.853238
0.305555556	0	0	0	0	30	5	5	5	20.9479819	14.46	0.608658862	0	0	422.853238
0.309027778	0	0	0	0	30	5	5	5	20.9505296	14.46	0.608253852	0	0	422.853238
0.3125	0	0	0	0	30	5	5	5	20.95307731	14.46	0.607846662	0	0	422.853238
0.315972222	0	0	0	0	30	5	5	5	20.95562502	14.46	0.607437283	0	0	422.853238
0.319444444	0	0	0	0	30	5	5	5	20.95817273	14.46	0.607025707	0	0	422.853238
0.322916667	0	0	0	0	30	5	5	5	20.96072044	14.46	0.606611926	0	0	422.853238
0.326388889	0	0	0	0	30	5	5	5	20.96326815	14.46	0.60619593	0	0	422.853238
0.329861111	0	0	0	0	30	5	5	5	20.96581585	14.46	0.605777712	0	0	422.853238
0.333333333	0	0	0	0	30	5	5	5	20.96836356	14.46	0.605357263	0	0	422.853238
0.336805556	0	0	0	0	30	5	5	5	20.97091127	14.46	0.604934575	0	0	422.853238
0.340277778	0	0	0	0	30	5	5	5	20.97345898	14.46	0.604509639	0	0	422.853238
0.34375	0	0	0	0	30	5	5	5	20.97600669	14.46	0.604082449	0	0	422.853238
0.347222222	0	0	0	0	30	5	5	5	20.9785544	14.46	0.603652994	0	0	422.853238
0.350694444	0	0	0	0	30	5	5	5	20.9811021	14.46	0.603221268	0	0	422.853238
0.354166667	0	0	0	0	30	5	5	5	20.98364981	14.46	0.602787261	0	0	422.853238
0.357638889	0	0	0	0	30	5	5	5	20.98619752	14.46	0.602350966	0	0	422.853238
0.361111111	0	0	0	0	30	5	5	5	20.98874523	14.46	0.601912376	0	0	422.853238
0.364583333	0	0	0	0	30	5	5	5	20.99129294	14.46	0.601471481	0	0	422.853238
0.368055556	0	0	0	0	30	5	5	5	20.99384065	14.46	0.601028273	0	0	422.853238
0.371527778	0	0	0	0	30	5	5	5	20.99638835	14.46	0.600582746	0	0	422.853238
0.375	0	0	0	0	30	5	5	5	20.99893606	14.46	0.600134891	0	0	422.853238
0.378472222	0	0	0	0	30	5	5	5	21.00148377	14.46	0.599684699	0	0	422.853238
0.381944444	0	0	0	0	30	5	5	5	21.00403148	14.46	0.599232164	0	0	422.853238
0.385416667	0	0	0	0	30	5	5	5	21.00657919	14.46	0.598777278	0	0	422.853238
0.388888889	0	0	0	0	30	5	5	5	21.0091269	14.46	0.598320032	0	0	422.853238
0.392361111	0	0	0	0	30	5	5	5	21.0116746	14.46	0.597860419	0	0	422.853238
0.395833333	0	0	0	0	30	5	5	5	21.01422231	14.46	0.597398431	0	0	422.853238
0.399305556	0	0	0	0	30	5	5	5	21.01677002	14.46	0.596934061	0	0	422.853238
0.402777778	0	0	0	0	30	5	5	5	21.01931773	14.46	0.596467301	0	0	422.853238
0.40625	0	0	0	0	30	5	5	5	21.02186544	14.46	0.595998143	0	0	422.853238
0.409722222	0	0	0	0	30	5	5	5	21.02441315	14.46	0.595526581	0	0	422.853238
0.413194444	0	0	0	0	30	5	5	5	21.02696085	14.46	0.595052606	0	0	422.853238
0.416666667	0	0	0	0	30	5	5	5	21.02950856	14.46	0.594576211	0	0	422.853238
0.420138889	0	0	0	0	30	5	5	5	21.03205627	14.46	0.594097389	0	0	422.853238
0.423611111	0	0	0	0	30	5	5	5	21.03460398	14.46	0.593616133	0	0	422.853238
0.427083333	0	0	0	0	30	5	5	5	21.03715169	14.46	0.593132434	0	0	422.853238
0.430555556	0	0	0	0	30	5	5	5	21.0396994	14.46	0.592646287	0	0	422.853238
0.434027778	0	0	0	0	30	5	5	5	21.04224711	14.46	0.592157684	0	0	422.853238
0.4375	0	0	0	0	30	5	5	5	21.04479481	14.46	0.591666617	0	0	422.853238
0.440972222	0	0	0	0	30	5	5	5	21.04734252	14.46	0.59117308	0	0	422.853238
0.444444444	0	0	0	0	30	5	5	5	21.04989023	14.46	0.590677065	0	0	422.853238
0.447916667	0	0	0	0	30	5	5	5	21.05243794	14.46	0.590178566	0	0	422.853238
0.451388889	0	0	0	0	30	5	5	5	21.05498565	14.46	0.589677576	0	0	422.853238
0.454861111	0	0	0	0	30	5	5	5	21.05753336	14.46	0.589174088	0	0	422.853238
0.458333333	0	0	0	0	30	5	5	5	21.06008106	14.46	0.588668094	0	0	422.853238
0.461805556	0	0	0	0	30	5	5	5	21.06262877	14.46	0.588159589	0	0	422.853238
0.465277778	0	0	0	0	30	5	5	5	21.06517648	14.46	0.587648565	0	0	422.853238
0.46875	0	0	0	0	30	5	5	5	21.06772419	14.46	0.587135017	0	0	422.853238
0.472222222	0	0	0	0	30	5	5	5	21.0702719	14.46	0.586618936	0	0	422.853238
0.475694444	0	0	0	0	30	5	5	5	21.07281961	14.46	0.586100318	0	0	422.853238
0.479166667	0	0	0	0	30	5	5	5	21.07536731	14.46	0.585579155	0	0	422.853238
0.482638889	0	0	0	0	30	5	5	5	21.07791502	14.46	0.58505544	0	0	422.853238
0.486111111	0	0	0	0	30	5	5	5	21.08046273	14.46	0.584529168	0	0	422.853238
0.489583333	0	0	0	0	30	5	5	5	21.08301044	14.46	0.584000332	0	0	422.853238
0.493055556	0	0	0	0	30	5	5	5	21.08555815	14.46	0.583468927	0	0	422.853238
0.496527778	0	0	0	0	30	5	5	5	21.08810586	14.46	0.582934945	0	0	422.853238
0.5	0	0	0	0	30	5	5	5	21.09065356	14.46	0.58239838	0	0	422.853238
0.503472222	0	0	0	0	30	5	5	5	21.09320127	14.46	0.581859227	0	0	422.853238
0.506944444	0	0	0	0	30	5	5	5	21.09574898	14.46	0.58131748	0	0	422.853238
0.510416667	0	0	0	0	30	5	5	5	21.09829669	14.46	0.580773132	0	0	422.853238
0.513888889	0	0	0	0	30	5	5	5	21.1008444	14.46	0.580226178	0	0	422.853238
0.517361111	0	0	0	0	30	5	5	5	21.10339211	14.46	0.579676612	0	0	422.853238
0.520833333	0	0	0	0	30	5	5	5	21.10593981	14.46	0.579124428	0	0	422.853238
0.524305556	0	0	0	0	30	5	5	5	21.10848752	14.46	0.578569621	0	0	422.853238
