t	X_CHL	X_ALG	X_PG	X_TAG	S_CO2	S_A	S_G	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0	0	0	0	0	30	5	5	5	24.38639605	16.41	0.085445282	0	0	421.8611433
0.003472222	0	0	0	0	30	5	5	5	24.31710613	16.41	0.085427498	0	0	421.8611433
0.006944444	0	0	0	0	30	5	5	5	24.24742824	16.41	0.085410062	0	0	421.8611433
0.010416667	0	0	0	0	30	5	5	5	24.17737266	16.41	0.085392972	0	0	421.8611433
0.013888889	0	0	0	0	30	5	5	5	24.10694977	16.41	0.085376228	0	0	421.8611433
0.017361111	0	0	0	0	30	5	5	5	24.03617005	16.41	0.085359829	0	0	421.8611433
0.020833333	0	0	0	0	30	5	5	5	23.96504407	16.41	0.085343774	0	0	421.8611433
0.024305556	0	0	0	0	30	5	5	5	23.89358248	16.41	0.08532806	0	0	421.8611433
0.027777778	0	0	0	0	30	5	5	5	23.82179603	16.41	0.085312689	0	0	421.8611433
0.03125	0	0	0	0	30	5	5	5	23.74969556	16.41	0.085297657	0	0	421.8611433
0.034722222	0	0	0	0	30	5	5	5	23.67729197	16.41	0.085282964	0	0	421.8611433
0.038194444	0	0	0	0	30	5	5	5	23.60459628	16.41	0.08526861	0	0	421.8611433
0.041666667	0	0	0	0	30	5	5	5	23.53161958	16.41	0.085254592	0	0	421.8611433
0.045138889	0	0	0	0	30	5	5	5	23.45837303	16.41	0.08524091	0	0	421.8611433
0.048611111	0	0	0	0	30	5	5	5	23.38486787	16.41	0.085227562	0	0	421.8611433
0.052083333	0	0	0	0	30	5	5	5	23.31111545	16.41	0.085214548	0	0	421.8611433
0.055555556	0	0	0	0	30	5	5	5	23.23712716	16.41	0.085201866	0	0	421.8611433
0.059027778	0	0	0	0	30	5	5	5	23.16291448	16.41	0.085189515	0	0	421.8611433
0.0625	0	0	0	0	30	5	5	5	23.08848896	16.41	0.085177494	0	0	421.8611433
0.065972222	0	0	0	0	30	5	5	5	23.01386222	16.41	0.085165801	0	0	421.8611433
0.069444444	0	0	0	0	30	5	5	5	22.93904596	16.41	0.085154436	0	0	421.8611433
