t	X_CHL	X_ALG	X_CH	X_LI	S_CO2	S_A	S_F	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0.000	0	0	0	0	30	5	5	5	8.16	6.41	0.08	0	0	402.39
0.003	0	0	0	0	30	5	5	5	8.17	6.41	0.08	0	0	402.39
0.007	0	0	0	0	30	5	5	5	8.19	6.41	0.08	0	0	402.39
0.010	0	0	0	0	30	5	5	5	8.21	6.41	0.08	0	0	402.39
0.014	0	0	0	0	30	5	5	5	8.23	6.41	0.08	0	0	402.39
0.017	0	0	0	0	30	5	5	5	8.25	6.41	0.08	0	0	402.39
0.021	0	0	0	0	30	5	5	5	8.26	6.41	0.08	0	0	402.39
0.024	0	0	0	0	30	5	5	5	8.28	6.41	0.08	0	0	402.39
0.028	0	0	0	0	30	5	5	5	8.30	6.41	0.08	0	0	402.39
0.031	0	0	0	0	30	5	5	5	8.32	6.41	0.08	0	0	402.39
0.035	0	0	0	0	30	5	5	5	8.34	6.41	0.08	0	0	402.39
0.038	0	0	0	0	30	5	5	5	8.35	6.41	0.08	0	0	402.39
0.042	0	0	0	0	30	5	5	5	8.37	6.41	0.08	0	0	402.39
0.045	0	0	0	0	30	5	5	5	8.39	6.41	0.08	0	0	402.39
0.049	0	0	0	0	30	5	5	5	8.41	6.41	0.08	0	0	402.39
0.052	0	0	0	0	30	5	5	5	8.43	6.41	0.08	0	0	402.39
0.056	0	0	0	0	30	5	5	5	8.45	6.41	0.08	0	0	402.39
0.059	0	0	0	0	30	5	5	5	8.47	6.41	0.08	0	0	402.39
0.063	0	0	0	0	30	5	5	5	8.48	6.41	0.09	0	0	402.39
0.066	0	0	0	0	30	5	5	5	8.50	6.41	0.09	0	0	402.39
0.069	0	0	0	0	30	5	5	5	8.52	6.41	0.09	0	0	402.39
0.073	0	0	0	0	30	5	5	5	8.54	6.41	0.09	0	0	402.39
0.076	0	0	0	0	30	5	5	5	8.56	6.41	0.09	0	0	402.39
0.080	0	0	0	0	30	5	5	5	8.58	6.41	0.09	0	0	402.39
0.083	0	0	0	0	30	5	5	5	8.60	6.41	0.09	0	0	402.39
0.087	0	0	0	0	30	5	5	5	8.62	6.41	0.09	0	0	402.39
0.090	0	0	0	0	30	5	5	5	8.64	6.41	0.09	0	0	402.39
0.094	0	0	0	0	30	5	5	5	8.66	6.41	0.09	0	0	402.39
0.097	0	0	0	0	30	5	5	5	8.68	6.41	0.09	0	0	402.39
0.101	0	0	0	0	30	5	5	5	8.70	6.41	0.09	0	0	402.39
0.104	0	0	0	0	30	5	5	5	8.72	6.41	0.09	0	0	402.39
0.108	0	0	0	0	30	5	5	5	8.74	6.41	0.09	0	0	402.39
0.111	0	0	0	0	30	5	5	5	8.76	6.41	0.09	0	0	402.39
0.115	0	0	0	0	30	5	5	5	8.78	6.41	0.09	0	0	402.39
0.118	0	0	0	0	30	5	5	5	8.80	6.41	0.09	0	0	402.39
0.122	0	0	0	0	30	5	5	5	8.82	6.41	0.09	0	0	402.39
0.125	0	0	0	0	30	5	5	5	8.84	6.41	0.09	0	0	402.39
0.128	0	0	0	0	30	5	5	5	8.87	6.41	0.09	0	0	402.39
0.132	0	0	0	0	30	5	5	5	8.89	6.41	0.09	0	0	402.39
0.135	0	0	0	0	30	5	5	5	8.91	6.41	0.09	0	0	402.39
0.139	0	0	0	0	30	5	5	5	8.93	6.41	0.09	0	0	402.39
0.142	0	0	0	0	30	5	5	5	8.95	6.41	0.09	0	0	402.39
0.146	0	0	0	0	30	5	5	5	8.97	6.41	0.09	0	0	402.39
0.149	0	0	0	0	30	5	5	5	9.00	6.41	0.09	0	0	402.39
0.153	0	0	0	0	30	5	5	5	9.02	6.41	0.09	0	0	402.39
0.156	0	0	0	0	30	5	5	5	9.04	6.41	0.09	0	0	402.39
0.160	0	0	0	0	30	5	5	5	9.06	6.41	0.09	0	0	402.39
0.163	0	0	0	0	30	5	5	5	9.09	6.41	0.09	0	0	402.39
0.167	0	0	0	0	30	5	5	5	9.11	6.41	0.09	0	0	402.39
0.170	0	0	0	0	30	5	5	5	9.13	6.41	0.09	0	0	402.39
0.174	0	0	0	0	30	5	5	5	9.16	6.41	0.09	0	0	402.39
0.177	0	0	0	0	30	5	5	5	9.18	6.41	0.09	0	0	402.39
0.181	0	0	0	0	30	5	5	5	9.20	6.41	0.09	0	0	402.39
0.184	0	0	0	0	30	5	5	5	9.23	6.41	0.09	0	0	402.39
0.188	0	0	0	0	30	5	5	5	9.25	6.41	0.09	0	0	402.39
0.191	0	0	0	0	30	5	5	5	9.28	6.41	0.09	0	0	402.39
0.194	0	0	0	0	30	5	5	5	9.30	6.41	0.09	0	0	402.39
0.198	0	0	0	0	30	5	5	5	9.33	6.41	0.09	0	0	402.39
0.201	0	0	0	0	30	5	5	5	9.35	6.41	0.09	0	0	402.39
0.205	0	0	0	0	30	5	5	5	9.38	6.41	0.09	0	0	402.39
0.208	0	0	0	0	30	5	5	5	9.40	6.41	0.09	0	0	402.39
0.212	0	0	0	0	30	5	5	5	9.43	6.41	0.09	0	0	402.39
0.215	0	0	0	0	30	5	5	5	9.45	6.41	0.09	0	0	402.39
0.219	0	0	0	0	30	5	5	5	9.48	6.41	0.09	0	0	402.39
0.222	0	0	0	0	30	5	5	5	9.51	6.41	0.09	0	0	402.39
0.226	0	0	0	0	30	5	5	5	9.53	6.41	0.09	0	0	402.39
0.229	0	0	0	0	30	5	5	5	9.56	6.41	0.09	0	0	402.39
0.233	0	0	0	0	30	5	5	5	9.59	6.41	0.09	0	0	402.39
0.236	0	0	0	0	30	5	5	5	9.61	6.41	0.09	0	0	402.39
0.240	0	0	0	0	30	5	5	5	9.64	6.41	0.09	0	0	402.39
0.243	0	0	0	0	30	5	5	5	9.67	6.41	0.09	0	0	402.39
0.247	0	0	0	0	30	5	5	5	9.70	6.41	0.09	0	0	402.39
0.250	0	0	0	0	30	5	5	5	9.73	6.41	0.09	0	0	402.39
0.253	0	0	0	0	30	5	5	5	9.75	6.41	0.09	0	0	402.39
0.257	0	0	0	0	30	5	5	5	9.78	6.41	0.09	0	0	402.39
0.260	0	0	0	0	30	5	5	5	9.81	6.41	0.09	0	0	402.39
0.264	0	0	0	0	30	5	5	5	9.84	6.41	0.09	0	0	402.39
0.267	0	0	0	0	30	5	5	5	9.87	6.41	0.09	0	0	402.39
0.271	0	0	0	0	30	5	5	5	9.90	6.41	0.09	0	0	402.39
0.274	0	0	0	0	30	5	5	5	9.93	6.41	0.09	0	0	402.39
0.278	0	0	0	0	30	5	5	5	9.96	6.41	0.09	0	0	402.39
0.281	0	0	0	0	30	5	5	5	9.99	6.41	0.09	0	0	402.39
0.285	0	0	0	0	30	5	5	5	10.02	6.41	0.09	0	0	402.39
0.288	0	0	0	0	30	5	5	5	10.06	6.41	0.09	0	0	402.39
0.292	0	0	0	0	30	5	5	5	10.09	6.41	0.09	0	0	402.39
0.295	0	0	0	0	30	5	5	5	10.12	6.41	0.09	0	0	402.39
0.299	0	0	0	0	30	5	5	5	10.15	6.41	0.09	0	0	402.39
0.302	0	0	0	0	30	5	5	5	10.18	6.41	0.09	0	0	402.39
0.306	0	0	0	0	30	5	5	5	10.22	6.41	0.09	0	0	402.39
0.309	0	0	0	0	30	5	5	5	10.25	6.41	0.09	0	0	402.39
0.313	0	0	0	0	30	5	5	5	10.28	6.41	0.09	0	0	402.39
0.316	0	0	0	0	30	5	5	5	10.32	6.41	0.09	0	0	402.39
0.319	0	0	0	0	30	5	5	5	10.36	6.41	0.09	0	0	402.39
0.323	0	0	0	0	30	5	5	5	10.40	6.41	0.10	0	0	402.39
0.326	0	0	0	0	30	5	5	5	10.44	6.41	0.10	0	0	402.39
0.330	0	0	0	0	30	5	5	5	10.47	6.41	0.10	0	0	402.39
0.333	0	0	0	0	30	5	5	5	10.51	6.41	0.10	0	0	402.39
0.337	0	0	0	0	30	5	5	5	10.55	6.41	0.10	0	0	402.39
0.340	0	0	0	0	30	5	5	5	10.59	6.41	0.10	0	0	402.39
0.344	0	0	0	0	30	5	5	5	10.63	6.41	0.10	0	0	402.39
0.347	0	0	0	0	30	5	5	5	10.67	6.41	0.10	0	0	402.39
0.351	0	0	0	0	30	5	5	5	10.71	6.41	0.10	0	0	402.39
0.354	0	0	0	0	30	5	5	5	10.75	6.41	0.10	0	0	402.39
0.358	0	0	0	0	30	5	5	5	10.79	6.41	0.10	0	0	402.39
0.361	0	0	0	0	30	5	5	5	10.84	6.41	0.10	0	0	402.39
0.365	0	0	0	0	30	5	5	5	10.88	6.41	0.10	0	0	402.39
0.368	0	0	0	0	30	5	5	5	10.92	6.41	0.10	0	0	402.39
0.372	0	0	0	0	30	5	5	5	10.96	6.41	0.10	0	0	402.39
0.375	0	0	0	0	30	5	5	5	11.01	6.41	0.10	0	0	402.39
0.378	0	0	0	0	30	5	5	5	11.05	6.41	0.10	0	0	402.39
0.382	0	0	0	0	30	5	5	5	11.09	6.41	0.10	0	0	402.39
0.385	0	0	0	0	30	5	5	5	11.14	6.41	0.10	0	0	402.39
0.389	0	0	0	0	30	5	5	5	11.18	6.41	0.10	0	0	402.39
0.392	0	0	0	0	30	5	5	5	11.23	6.41	0.10	0	0	402.39
0.396	0	0	0	0	30	5	5	5	11.27	6.41	0.10	0	0	402.39
0.399	0	0	0	0	30	5	5	5	11.32	6.41	0.10	0	0	402.39
0.403	0	0	0	0	30	5	5	5	11.37	6.41	0.10	0	0	402.39
0.406	0	0	0	0	30	5	5	5	11.41	6.41	0.10	0	0	402.39
0.410	0	0	0	0	30	5	5	5	11.46	6.41	0.10	0	0	402.39
0.413	0	0	0	0	30	5	5	5	11.51	6.41	0.10	0	0	402.39
0.417	0	0	0	0	30	5	5	5	11.56	6.41	0.10	0	0	402.39
0.420	0	0	0	0	30	5	5	5	11.60	6.41	0.10	0	0	402.39
0.424	0	0	0	0	30	5	5	5	11.65	6.41	0.10	0	0	402.39
0.427	0	0	0	0	30	5	5	5	11.70	6.41	0.10	0	0	402.39
0.431	0	0	0	0	30	5	5	5	11.75	6.41	0.10	0	0	402.39
0.434	0	0	0	0	30	5	5	5	11.80	6.41	0.10	0	0	402.39
0.438	0	0	0	0	30	5	5	5	11.85	6.41	0.10	0	0	402.39
0.441	0	0	0	0	30	5	5	5	11.90	6.41	0.10	0	0	402.39
0.444	0	0	0	0	30	5	5	5	11.96	6.41	0.10	0	0	402.39
0.448	0	0	0	0	30	5	5	5	12.01	6.41	0.10	0	0	402.39
0.451	0	0	0	0	30	5	5	5	12.06	6.41	0.10	0	0	402.39
0.455	0	0	0	0	30	5	5	5	12.11	6.41	0.10	0	0	402.39
0.458	0	0	0	0	30	5	5	5	12.17	6.41	0.10	0	0	402.39
0.462	0	0	0	0	30	5	5	5	12.22	6.41	0.10	0	0	402.39
