t	X_CHL	X_ALG	X_CH	X_LI	S_CO2	S_A	S_F	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0.000	0	0	0	0	30	5	5	5	32.05	5.95	0.17	0	0	415.11
0.003	0	0	0	0	30	5	5	5	31.97	5.95	0.17	0	0	415.11
0.007	0	0	0	0	30	5	5	5	31.90	5.95	0.17	0	0	415.11
0.010	0	0	0	0	30	5	5	5	31.83	5.95	0.17	0	0	415.11
0.014	0	0	0	0	30	5	5	5	31.76	5.95	0.17	0	0	415.11
0.017	0	0	0	0	30	5	5	5	31.69	5.95	0.17	0	0	415.11
0.021	0	0	0	0	30	5	5	5	31.61	5.95	0.17	0	0	415.11
0.024	0	0	0	0	30	5	5	5	31.54	5.95	0.17	0	0	415.11
0.028	0	0	0	0	30	5	5	5	31.47	5.95	0.17	0	0	415.11
0.031	0	0	0	0	30	5	5	5	31.40	5.95	0.17	0	0	415.11
0.035	0	0	0	0	30	5	5	5	31.33	5.95	0.17	0	0	415.11
0.038	0	0	0	0	30	5	5	5	31.26	5.95	0.17	0	0	415.11
0.042	0	0	0	0	30	5	5	5	31.19	5.95	0.17	0	0	415.11
0.045	0	0	0	0	30	5	5	5	31.12	5.95	0.17	0	0	415.11
0.049	0	0	0	0	30	5	5	5	31.05	5.95	0.17	0	0	415.11
0.052	0	0	0	0	30	5	5	5	30.98	5.95	0.17	0	0	415.11
0.056	0	0	0	0	30	5	5	5	30.91	5.95	0.17	0	0	415.11
0.059	0	0	0	0	30	5	5	5	30.84	5.95	0.17	0	0	415.11
0.063	0	0	0	0	30	5	5	5	30.77	5.95	0.17	0	0	415.11
0.066	0	0	0	0	30	5	5	5	30.71	5.95	0.17	0	0	415.11
0.069	0	0	0	0	30	5	5	5	30.64	5.95	0.17	0	0	415.11
0.073	0	0	0	0	30	5	5	5	30.57	5.95	0.17	0	0	415.11
0.076	0	0	0	0	30	5	5	5	30.50	5.95	0.17	0	0	415.11
0.080	0	0	0	0	30	5	5	5	30.43	5.95	0.17	0	0	415.11
0.083	0	0	0	0	30	5	5	5	30.36	5.95	0.17	0	0	415.11
0.087	0	0	0	0	30	5	5	5	30.30	5.95	0.17	0	0	415.11
0.090	0	0	0	0	30	5	5	5	30.23	5.95	0.17	0	0	415.11
0.094	0	0	0	0	30	5	5	5	30.16	5.95	0.17	0	0	415.11
0.097	0	0	0	0	30	5	5	5	30.09	5.95	0.17	0	0	415.11
0.101	0	0	0	0	30	5	5	5	30.03	5.95	0.16	0	0	415.11
0.104	0	0	0	0	30	5	5	5	29.96	5.95	0.16	0	0	415.11
0.108	0	0	0	0	30	5	5	5	29.89	5.95	0.16	0	0	415.11
0.111	0	0	0	0	30	5	5	5	29.83	5.95	0.16	0	0	415.11
0.115	0	0	0	0	30	5	5	5	29.76	5.95	0.16	0	0	415.11
0.118	0	0	0	0	30	5	5	5	29.70	5.95	0.16	0	0	415.11
0.122	0	0	0	0	30	5	5	5	29.63	5.95	0.16	0	0	415.11
0.125	0	0	0	0	30	5	5	5	29.56	5.95	0.16	0	0	415.11
0.128	0	0	0	0	30	5	5	5	29.50	5.95	0.16	0	0	415.11
0.132	0	0	0	0	30	5	5	5	29.43	5.95	0.16	0	0	415.11
0.135	0	0	0	0	30	5	5	5	29.37	5.95	0.16	0	0	415.11
0.139	0	0	0	0	30	5	5	5	29.30	5.95	0.16	0	0	415.11
0.142	0	0	0	0	30	5	5	5	29.24	5.95	0.16	0	0	415.11
0.146	0	0	0	0	30	5	5	5	29.17	5.95	0.16	0	0	415.11
0.149	0	0	0	0	30	5	5	5	29.11	5.95	0.16	0	0	415.11
