t	X_CHL	X_ALG	X_PG	X_TAG	S_CO2	S_A	S_G	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0	0	0	0	0	30	5	5	5	35.8	0.7	0.36	0	0	600
0.003472222	0	0	0	0	30	5	5	5	35.82	0.7	0.36	0	0	600
0.006944444	0	0	0	0	30	5	5	5	35.84	0.7	0.36	0	0	600
0.010416667	0	0	0	0	30	5	5	5	35.85	0.7	0.36	0	0	600
0.013888889	0	0	0	0	30	5	5	5	35.87	0.7	0.36	0	0	600
0.017361111	0	0	0	0	30	5	5	5	35.88	0.7	0.36	0	0	600
0.020833333	0	0	0	0	30	5	5	5	35.9	0.7	0.36	0	0	600
0.024305556	0	0	0	0	30	5	5	5	35.92	0.7	0.36	0	0	600
0.027777778	0	0	0	0	30	5	5	5	35.93	0.7	0.36	0	0	600
0.03125	0	0	0	0	30	5	5	5	35.95	0.7	0.36	0	0	600
0.034722222	0	0	0	0	30	5	5	5	35.96	0.7	0.36	0	0	600
0.038194444	0	0	0	0	30	5	5	5	35.98	0.7	0.36	0	0	600
0.041666667	0	0	0	0	30	5	5	5	35.99	0.7	0.36	0	0	600
0.045138889	0	0	0	0	30	5	5	5	36.01	0.7	0.36	0	0	600
0.048611111	0	0	0	0	30	5	5	5	36.03	0.7	0.36	0	0	600
0.052083333	0	0	0	0	30	5	5	5	36.04	0.7	0.36	0	0	600
0.055555556	0	0	0	0	30	5	5	5	36.06	0.7	0.36	0	0	600
0.059027778	0	0	0	0	30	5	5	5	36.07	0.7	0.36	0	0	600
0.0625	0	0	0	0	30	5	5	5	36.09	0.7	0.36	0	0	600
0.065972222	0	0	0	0	30	5	5	5	36.11	0.7	0.36	0	0	600
0.069444444	0	0	0	0	30	5	5	5	36.12	0.7	0.36	0	0	600
0.072916667	0	0	0	0	30	5	5	5	36.14	0.7	0.36	0	0	600
0.076388889	0	0	0	0	30	5	5	5	36.15	0.7	0.36	0	0	600
0.079861111	0	0	0	0	30	5	5	5	36.17	0.7	0.36	0	0	600
0.083333333	0	0	0	0	30	5	5	5	36.18	0.7	0.36	0	0	600
0.086805556	0	0	0	0	30	5	5	5	36.2	0.7	0.36	0	0	600
0.090277778	0	0	0	0	30	5	5	5	36.22	0.7	0.36	0	0	600
0.09375	0	0	0	0	30	5	5	5	36.23	0.7	0.36	0	0	600
0.097222222	0	0	0	0	30	5	5	5	36.25	0.7	0.36	0	0	600
0.100694444	0	0	0	0	30	5	5	5	36.26	0.7	0.36	0	0	600
0.104166667	0	0	0	0	30	5	5	5	36.28	0.7	0.36	0	0	600
0.107638889	0	0	0	0	30	5	5	5	36.29	0.7	0.36	0	0	600
