t	X_CHL	X_ALG	X_CH	X_LI	S_CO2	S_A	S_F	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0	0	0	0	0	30	5	5	5	35.80409178	0.7	0.357441538	0	0	451.2355231
0.003472222	0	0	0	0	30	5	5	5	35.81999006	0.7	0.357666189	0	0	451.2355231
0.006944444	0	0	0	0	30	5	5	5	35.83588628	0.7	0.357892152	0	0	451.2355231
0.010416667	0	0	0	0	30	5	5	5	35.85178018	0.7	0.358119422	0	0	451.2355231
0.013888889	0	0	0	0	30	5	5	5	35.86767152	0.7	0.35834799	0	0	451.2355231
0.017361111	0	0	0	0	30	5	5	5	35.88356004	0.7	0.358577852	0	0	451.2355231
0.020833333	0	0	0	0	30	5	5	5	35.8994455	0.7	0.358809	0	0	451.2355231
0.024305556	0	0	0	0	30	5	5	5	35.91532764	0.7	0.359041428	0	0	451.2355231
0.027777778	0	0	0	0	30	5	5	5	35.93120623	0.7	0.359275129	0	0	451.2355231
0.03125	0	0	0	0	30	5	5	5	35.94708103	0.7	0.359510098	0	0	451.2355231
0.034722222	0	0	0	0	30	5	5	5	35.9629518	0.7	0.359746326	0	0	451.2355231
0.038194444	0	0	0	0	30	5	5	5	35.97881831	0.7	0.359983808	0	0	451.2355231
0.041666667	0	0	0	0	30	5	5	5	35.99468031	0.7	0.360222537	0	0	451.2355231
0.045138889	0	0	0	0	30	5	5	5	36.0105376	0.7	0.360462505	0	0	451.2355231
0.048611111	0	0	0	0	30	5	5	5	36.02638992	0.7	0.360703707	0	0	451.2355231
0.052083333	0	0	0	0	30	5	5	5	36.04223707	0.7	0.360946134	0	0	451.2355231
0.055555556	0	0	0	0	30	5	5	5	36.05807882	0.7	0.36118978	0	0	451.2355231
0.059027778	0	0	0	0	30	5	5	5	36.07391494	0.7	0.361434638	0	0	451.2355231
0.0625	0	0	0	0	30	5	5	5	36.08974523	0.7	0.361680701	0	0	451.2355231
0.065972222	0	0	0	0	30	5	5	5	36.10556946	0.7	0.361927961	0	0	451.2355231
0.069444444	0	0	0	0	30	5	5	5	36.12138742	0.7	0.362176412	0	0	451.2355231
0.072916667	0	0	0	0	30	5	5	5	36.13719891	0.7	0.362426045	0	0	451.2355231
0.076388889	0	0	0	0	30	5	5	5	36.15300371	0.7	0.362676854	0	0	451.2355231
0.079861111	0	0	0	0	30	5	5	5	36.16880162	0.7	0.362928832	0	0	451.2355231
0.083333333	0	0	0	0	30	5	5	5	36.18459244	0.7	0.36318197	0	0	451.2355231
0.086805556	0	0	0	0	30	5	5	5	36.20037597	0.7	0.363436262	0	0	451.2355231
0.090277778	0	0	0	0	30	5	5	5	36.216152	0.7	0.363691699	0	0	451.2355231
0.09375	0	0	0	0	30	5	5	5	36.23192035	0.7	0.363948275	0	0	451.2355231
0.097222222	0	0	0	0	30	5	5	5	36.24768081	0.7	0.364205981	0	0	451.2355231
0.100694444	0	0	0	0	30	5	5	5	36.26343321	0.7	0.364464809	0	0	451.2355231
0.104166667	0	0	0	0	30	5	5	5	36.27917734	0.7	0.364724753	0	0	451.2355231
0.107638889	0	0	0	0	30	5	5	5	36.29491303	0.7	0.364985804	0	0	451.2355231
0.111111111	0	0	0	0	30	5	5	5	36.31064008	0.7	0.365247954	0	0	451.2355231
0.114583333	0	0	0	0	30	5	5	5	36.32635832	0.7	0.365511196	0	0	451.2355231
0.118055556	0	0	0	0	30	5	5	5	36.34206757	0.7	0.365775521	0	0	451.2355231
0.121527778	0	0	0	0	30	5	5	5	36.35776765	0.7	0.366040921	0	0	451.2355231
0.125	0	0	0	0	30	5	5	5	36.37345839	0.7	0.366307389	0	0	451.2355231
0.128472222	0	0	0	0	30	5	5	5	36.38913961	0.7	0.366574916	0	0	451.2355231
0.131944444	0	0	0	0	30	5	5	5	36.40481114	0.7	0.366843494	0	0	451.2355231
0.135416667	0	0	0	0	30	5	5	5	36.42047282	0.7	0.367113114	0	0	451.2355231
0.138888889	0	0	0	0	30	5	5	5	36.43612448	0.7	0.367383769	0	0	451.2355231
0.142361111	0	0	0	0	30	5	5	5	36.45176596	0.7	0.367655451	0	0	451.2355231
0.145833333	0	0	0	0	30	5	5	5	36.46739709	0.7	0.36792815	0	0	451.2355231
0.149305556	0	0	0	0	30	5	5	5	36.48301771	0.7	0.368201858	0	0	451.2355231
0.152777778	0	0	0	0	30	5	5	5	36.49862768	0.7	0.368476568	0	0	451.2355231
0.15625	0	0	0	0	30	5	5	5	36.51422683	0.7	0.36875227	0	0	451.2355231
0.159722222	0	0	0	0	30	5	5	5	36.52981501	0.7	0.369028956	0	0	451.2355231
0.163194444	0	0	0	0	30	5	5	5	36.54539208	0.7	0.369306617	0	0	451.2355231
0.166666667	0	0	0	0	30	5	5	5	36.56095788	0.7	0.369585245	0	0	451.2355231
0.170138889	0	0	0	0	30	5	5	5	36.57651227	0.7	0.369864831	0	0	451.2355231
0.173611111	0	0	0	0	30	5	5	5	36.59205511	0.7	0.370145366	0	0	451.2355231
0.177083333	0	0	0	0	30	5	5	5	36.60758625	0.7	0.370426842	0	0	451.2355231
0.180555556	0	0	0	0	30	5	5	5	36.62310555	0.7	0.370709249	0	0	451.2355231
0.184027778	0	0	0	0	30	5	5	5	36.63861289	0.7	0.370992579	0	0	451.2355231
0.1875	0	0	0	0	30	5	5	5	36.65410811	0.7	0.371276823	0	0	451.2355231
0.190972222	0	0	0	0	30	5	5	5	36.6695911	0.7	0.371561972	0	0	451.2355231
0.194444444	0	0	0	0	30	5	5	5	36.68506172	0.7	0.371848017	0	0	451.2355231
0.197916667	0	0	0	0	30	5	5	5	36.70051984	0.7	0.372134949	0	0	451.2355231
0.201388889	0	0	0	0	30	5	5	5	36.71596533	0.7	0.372422759	0	0	451.2355231
0.204861111	0	0	0	0	30	5	5	5	36.73139807	0.7	0.372711438	0	0	451.2355231
0.208333333	0	0	0	0	30	5	5	5	36.74681795	0.7	0.373000977	0	0	451.2355231
0.211805556	0	0	0	0	30	5	5	5	36.76222483	0.7	0.373291366	0	0	451.2355231
0.215277778	0	0	0	0	30	5	5	5	36.7776186	0.7	0.373582597	0	0	451.2355231
0.21875	0	0	0	0	30	5	5	5	36.79299914	0.7	0.373874659	0	0	451.2355231
0.222222222	0	0	0	0	30	5	5	5	36.80836634	0.7	0.374167545	0	0	451.2355231
0.225694444	0	0	0	0	30	5	5	5	36.82372009	0.7	0.374461244	0	0	451.2355231
0.229166667	0	0	0	0	30	5	5	5	36.83906028	0.7	0.374755748	0	0	451.2355231
0.232638889	0	0	0	0	30	5	5	5	36.8543868	0.7	0.375051046	0	0	451.2355231
0.236111111	0	0	0	0	30	5	5	5	36.86969954	0.7	0.37534713	0	0	451.2355231
0.239583333	0	0	0	0	30	5	5	5	36.88499841	0.7	0.37564399	0	0	451.2355231
0.243055556	0	0	0	0	30	5	5	5	36.90028329	0.7	0.375941617	0	0	451.2355231
0.246527778	0	0	0	0	30	5	5	5	36.91555409	0.7	0.37624	0	0	451.2355231
0.25	0	0	0	0	30	5	5	5	36.93081071	0.7	0.376539132	0	0	451.2355231
0.253472222	0	0	0	0	30	5	5	5	36.94605306	0.7	0.376839001	0	0	451.2355231
0.256944444	0	0	0	0	30	5	5	5	36.96128103	0.7	0.377139599	0	0	451.2355231
0.260416667	0	0	0	0	30	5	5	5	36.97649454	0.7	0.377440916	0	0	451.2355231
0.263888889	0	0	0	0	30	5	5	5	36.99169351	0.7	0.377742942	0	0	451.2355231
0.267361111	0	0	0	0	30	5	5	5	37.00687783	0.7	0.378045668	0	0	451.2355231
0.270833333	0	0	0	0	30	5	5	5	37.02204743	0.7	0.378349084	0	0	451.2355231
0.274305556	0	0	0	0	30	5	5	5	37.03720221	0.7	0.37865318	0	0	451.2355231
0.277777778	0	0	0	0	30	5	5	5	37.05234211	0.7	0.378957947	0	0	451.2355231
0.28125	0	0	0	0	30	5	5	5	37.06746702	0.7	0.379263375	0	0	451.2355231
0.284722222	0	0	0	0	30	5	5	5	37.08257689	0.7	0.379569454	0	0	451.2355231
0.288194444	0	0	0	0	30	5	5	5	37.09767163	0.7	0.379876174	0	0	451.2355231
0.291666667	0	0	0	0	30	5	5	5	37.11275117	0.7	0.380183526	0	0	451.2355231
0.295138889	0	0	0	0	30	5	5	5	37.12781542	0.7	0.3804915	0	0	451.2355231
0.298611111	0	0	0	0	30	5	5	5	37.14286433	0.7	0.380800086	0	0	451.2355231
0.302083333	0	0	0	0	30	5	5	5	37.15789783	0.7	0.381109275	0	0	451.2355231
0.305555556	0	0	0	0	30	5	5	5	37.17291583	0.7	0.381419056	0	0	451.2355231
0.309027778	0	0	0	0	30	5	5	5	37.18791829	0.7	0.381729419	0	0	451.2355231
0.3125	0	0	0	0	30	5	5	5	37.20290513	0.7	0.382040355	0	0	451.2355231
0.315972222	0	0	0	0	30	5	5	5	37.21286281	0.7	0.381804713	0	0	451.2355231
0.319444444	0	0	0	0	30	5	5	5	37.22280476	0.7	0.381569624	0	0	451.2355231
0.322916667	0	0	0	0	30	5	5	5	37.2327309	0.7	0.381335078	0	0	451.2355231
0.326388889	0	0	0	0	30	5	5	5	37.2426412	0.7	0.381101065	0	0	451.2355231
0.329861111	0	0	0	0	30	5	5	5	37.25253559	0.7	0.380867576	0	0	451.2355231
0.333333333	0	0	0	0	30	5	5	5	37.26241401	0.7	0.3806346	0	0	451.2355231
0.336805556	0	0	0	0	30	5	5	5	37.27227643	0.7	0.380402128	0	0	451.2355231
0.340277778	0	0	0	0	30	5	5	5	37.28212278	0.7	0.38017015	0	0	451.2355231
0.34375	0	0	0	0	30	5	5	5	37.29195302	0.7	0.379938655	0	0	451.2355231
0.347222222	0	0	0	0	30	5	5	5	37.3017671	0.7	0.379707634	0	0	451.2355231
0.350694444	0	0	0	0	30	5	5	5	37.31156498	0.7	0.379477078	0	0	451.2355231
0.354166667	0	0	0	0	30	5	5	5	37.32134661	0.7	0.379246975	0	0	451.2355231
0.357638889	0	0	0	0	30	5	5	5	37.33111196	0.7	0.379017317	0	0	451.2355231
0.361111111	0	0	0	0	30	5	5	5	37.34086098	0.7	0.378788093	0	0	451.2355231
0.364583333	0	0	0	0	30	5	5	5	37.35059363	0.7	0.378559293	0	0	451.2355231
0.368055556	0	0	0	0	30	5	5	5	37.36030989	0.7	0.378330909	0	0	451.2355231
0.371527778	0	0	0	0	30	5	5	5	37.3700097	0.7	0.378102929	0	0	451.2355231
0.375	0	0	0	0	30	5	5	5	37.37969305	0.7	0.377875343	0	0	451.2355231
0.378472222	0	0	0	0	30	5	5	5	37.38935989	0.7	0.377648143	0	0	451.2355231
0.381944444	0	0	0	0	30	5	5	5	37.39901021	0.7	0.377421319	0	0	451.2355231
0.385416667	0	0	0	0	30	5	5	5	37.40864396	0.7	0.377194859	0	0	451.2355231
0.388888889	0	0	0	0	30	5	5	5	37.41826112	0.7	0.376968756	0	0	451.2355231
0.392361111	0	0	0	0	30	5	5	5	37.42786167	0.7	0.376742998	0	0	451.2355231
0.395833333	0	0	0	0	30	5	5	5	37.43744559	0.7	0.376517577	0	0	451.2355231
0.399305556	0	0	0	0	30	5	5	5	37.44701284	0.7	0.376292481	0	0	451.2355231
0.402777778	0	0	0	0	30	5	5	5	37.45656341	0.7	0.376067703	0	0	451.2355231
0.40625	0	0	0	0	30	5	5	5	37.46609728	0.7	0.375843231	0	0	451.2355231
0.409722222	0	0	0	0	30	5	5	5	37.47561443	0.7	0.375619057	0	0	451.2355231
0.413194444	0	0	0	0	30	5	5	5	37.48511485	0.7	0.37539517	0	0	451.2355231
0.416666667	0	0	0	0	30	5	5	5	37.49459851	0.7	0.375171561	0	0	451.2355231
0.420138889	0	0	0	0	30	5	5	5	37.50406541	0.7	0.374948221	0	0	451.2355231
0.423611111	0	0	0	0	30	5	5	5	37.51351553	0.7	0.374725139	0	0	451.2355231
0.427083333	0	0	0	0	30	5	5	5	37.52294887	0.7	0.374502307	0	0	451.2355231
