t	X_CHL	X_ALG	X_CH	X_LI	S_CO2	S_A	S_F	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0	0	0	0	0	30	5	5	5	33.85702158	3.46	0.475209804	0	0	451.2355231
0.00347222	0	0	0	0	30	5	5	5	33.84618617	3.46	0.474711726	0	0	451.2355231
0.00694444	0	0	0	0	30	5	5	5	33.83532885	3.46	0.474212583	0	0	451.2355231
0.01041667	0	0	0	0	30	5	5	5	33.82444948	3.46	0.473712391	0	0	451.2355231
0.01388889	0	0	0	0	30	5	5	5	33.81354792	3.46	0.473211166	0	0	451.2355231
0.01736111	0	0	0	0	30	5	5	5	33.80262404	3.46	0.472708923	0	0	451.2355231
0.02083333	0	0	0	0	30	5	5	5	33.79167771	3.46	0.472205678	0	0	451.2355231
0.02430556	0	0	0	0	30	5	5	5	33.78070882	3.46	0.471701448	0	0	451.2355231
0.02777778	0	0	0	0	30	5	5	5	33.76971725	3.46	0.471196248	0	0	451.2355231
0.03125	0	0	0	0	30	5	5	5	33.7587029	3.46	0.470690094	0	0	451.2355231
0.03472222	0	0	0	0	30	5	5	5	33.74766569	3.46	0.470183004	0	0	451.2355231
0.03819444	0	0	0	0	30	5	5	5	33.73660552	3.46	0.469674993	0	0	451.2355231
0.04166667	0	0	0	0	30	5	5	5	33.72552232	3.46	0.469166078	0	0	451.2355231
0.04513889	0	0	0	0	30	5	5	5	33.71441601	3.46	0.468656275	0	0	451.2355231
0.04861111	0	0	0	0	30	5	5	5	33.70328653	3.46	0.468145602	0	0	451.2355231
0.05208333	0	0	0	0	30	5	5	5	33.69213384	3.46	0.467634074	0	0	451.2355231
0.05555556	0	0	0	0	30	5	5	5	33.68095788	3.46	0.467121709	0	0	451.2355231
0.05902778	0	0	0	0	30	5	5	5	33.66975862	3.46	0.466608523	0	0	451.2355231
0.0625	0	0	0	0	30	5	5	5	33.65853602	3.46	0.466094533	0	0	451.2355231
0.06597222	0	0	0	0	30	5	5	5	33.64729007	3.46	0.465579757	0	0	451.2355231
0.06944444	0	0	0	0	30	5	5	5	33.63602076	3.46	0.465064211	0	0	451.2355231
0.07291667	0	0	0	0	30	5	5	5	33.62472807	3.46	0.464547913	0	0	451.2355231
0.07638889	0	0	0	0	30	5	5	5	33.61341202	3.46	0.464030879	0	0	451.2355231
0.07986111	0	0	0	0	30	5	5	5	33.60207261	3.46	0.463513127	0	0	451.2355231
0.08333333	0	0	0	0	30	5	5	5	33.59070987	3.46	0.462994674	0	0	451.2355231
0.08680556	0	0	0	0	30	5	5	5	33.57932383	3.46	0.462475538	0	0	451.2355231
0.09027778	0	0	0	0	30	5	5	5	33.56791451	3.46	0.461955736	0	0	451.2355231
0.09375	0	0	0	0	30	5	5	5	33.55648198	3.46	0.461435285	0	0	451.2355231
0.09722222	0	0	0	0	30	5	5	5	33.54502628	3.46	0.460914202	0	0	451.2355231
0.10069444	0	0	0	0	30	5	5	5	33.53354747	3.46	0.460392506	0	0	451.2355231
0.10416667	0	0	0	0	30	5	5	5	33.52204563	3.46	0.459870213	0	0	451.2355231
0.10763889	0	0	0	0	30	5	5	5	33.51052084	3.46	0.459347342	0	0	451.2355231
0.11111111	0	0	0	0	30	5	5	5	33.49897318	3.46	0.45882391	0	0	451.2355231
0.11458333	0	0	0	0	30	5	5	5	33.48740275	3.46	0.458299934	0	0	451.2355231
0.11805556	0	0	0	0	30	5	5	5	33.47580966	3.46	0.457775432	0	0	451.2355231
0.12152778	0	0	0	0	30	5	5	5	33.46419402	3.46	0.457250422	0	0	451.2355231
0.125	0	0	0	0	30	5	5	5	33.45255595	3.46	0.456724921	0	0	451.2355231
0.12847222	0	0	0	0	30	5	5	5	33.44089559	3.46	0.456198947	0	0	451.2355231
0.13194444	0	0	0	0	30	5	5	5	33.42921307	3.46	0.455672517	0	0	451.2355231
0.13541667	0	0	0	0	30	5	5	5	33.41750854	3.46	0.455145651	0	0	451.2355231
