t	X_CHL	X_ALG	X_CH	X_LI	S_CO2	S_A	S_F	S_O2	S_NH	S_NO	S_P	X_N_ALG	X_P_ALG	Q
0	0	0	0	0	30	5	5	5	33.86	3.46	0.48	0	0	445.26
0.00347222	0	0	0	0	30	5	5	5	33.85	3.46	0.47	0	0	445.26
0.00694444	0	0	0	0	30	5	5	5	33.84	3.46	0.47	0	0	445.26
0.01041667	0	0	0	0	30	5	5	5	33.82	3.46	0.47	0	0	445.26
0.01388889	0	0	0	0	30	5	5	5	33.81	3.46	0.47	0	0	445.26
0.01736111	0	0	0	0	30	5	5	5	33.8	3.46	0.47	0	0	445.26
0.02083333	0	0	0	0	30	5	5	5	33.79	3.46	0.47	0	0	445.26
0.02430556	0	0	0	0	30	5	5	5	33.78	3.46	0.47	0	0	445.26
0.02777778	0	0	0	0	30	5	5	5	33.77	3.46	0.47	0	0	445.26
0.03125	0	0	0	0	30	5	5	5	33.76	3.46	0.47	0	0	445.26
0.03472222	0	0	0	0	30	5	5	5	33.75	3.46	0.47	0	0	445.26
0.03819444	0	0	0	0	30	5	5	5	33.74	3.46	0.47	0	0	445.26
0.04166667	0	0	0	0	30	5	5	5	33.73	3.46	0.47	0	0	445.26
0.04513889	0	0	0	0	30	5	5	5	33.71	3.46	0.47	0	0	445.26
0.04861111	0	0	0	0	30	5	5	5	33.7	3.46	0.47	0	0	445.26
0.05208333	0	0	0	0	30	5	5	5	33.69	3.46	0.47	0	0	445.26
0.05555556	0	0	0	0	30	5	5	5	33.68	3.46	0.47	0	0	445.26
0.05902778	0	0	0	0	30	5	5	5	33.67	3.46	0.47	0	0	445.26
0.0625	0	0	0	0	30	5	5	5	33.66	3.46	0.47	0	0	445.26
0.06597222	0	0	0	0	30	5	5	5	33.65	3.46	0.47	0	0	445.26
0.06944444	0	0	0	0	30	5	5	5	33.64	3.46	0.47	0	0	445.26
0.07291667	0	0	0	0	30	5	5	5	33.62	3.46	0.46	0	0	445.26
0.07638889	0	0	0	0	30	5	5	5	33.61	3.46	0.46	0	0	445.26
0.07986111	0	0	0	0	30	5	5	5	33.6	3.46	0.46	0	0	445.26
0.08333333	0	0	0	0	30	5	5	5	33.59	3.46	0.46	0	0	445.26
0.08680556	0	0	0	0	30	5	5	5	33.58	3.46	0.46	0	0	445.26
0.09027778	0	0	0	0	30	5	5	5	33.57	3.46	0.46	0	0	445.26
0.09375	0	0	0	0	30	5	5	5	33.56	3.46	0.46	0	0	445.26
0.09722222	0	0	0	0	30	5	5	5	33.55	3.46	0.46	0	0	445.26
0.10069444	0	0	0	0	30	5	5	5	33.53	3.46	0.46	0	0	445.26
0.10416667	0	0	0	0	30	5	5	5	33.52	3.46	0.46	0	0	445.26
0.10763889	0	0	0	0	30	5	5	5	33.51	3.46	0.46	0	0	445.26
0.11111111	0	0	0	0	30	5	5	5	33.5	3.46	0.46	0	0	445.26
0.11458333	0	0	0	0	30	5	5	5	33.49	3.46	0.46	0	0	445.26
0.11805556	0	0	0	0	30	5	5	5	33.48	3.46	0.46	0	0	445.26
0.12152778	0	0	0	0	30	5	5	5	33.46	3.46	0.46	0	0	445.26
0.125	0	0	0	0	30	5	5	5	33.45	3.46	0.46	0	0	445.26
0.12847222	0	0	0	0	30	5	5	5	33.44	3.46	0.46	0	0	445.26
0.13194444	0	0	0	0	30	5	5	5	33.43	3.46	0.46	0	0	445.26
0.13541667	0	0	0	0	30	5	5	5	33.42	3.46	0.46	0	0	445.26
0.13888889	0	0	0	0	30	5	5	5	33.41	3.46	0.45	0	0	445.26
0.14236111	0	0	0	0	30	5	5	5	33.39	3.46	0.45	0	0	445.26
0.14583333	0	0	0	0	30	5	5	5	33.38	3.46	0.45	0	0	445.26
0.14930556	0	0	0	0	30	5	5	5	33.37	3.46	0.45	0	0	445.26
0.15277778	0	0	0	0	30	5	5	5	33.36	3.46	0.45	0	0	445.26
0.15625	0	0	0	0	30	5	5	5	33.35	3.46	0.45	0	0	445.26
0.15972222	0	0	0	0	30	5	5	5	33.33	3.46	0.45	0	0	445.26
0.16319444	0	0	0	0	30	5	5	5	33.32	3.46	0.45	0	0	445.26
0.16666667	0	0	0	0	30	5	5	5	33.31	3.46	0.45	0	0	445.26
0.17013889	0	0	0	0	30	5	5	5	33.3	3.46	0.45	0	0	445.26
0.17361111	0	0	0	0	30	5	5	5	33.29	3.46	0.45	0	0	445.26
0.17708333	0	0	0	0	30	5	5	5	33.28	3.46	0.45	0	0	445.26
0.18055556	0	0	0	0	30	5	5	5	33.26	3.46	0.45	0	0	445.26
0.18402778	0	0	0	0	30	5	5	5	33.25	3.46	0.45	0	0	445.26
0.1875	0	0	0	0	30	5	5	5	33.24	3.46	0.45	0	0	445.26
0.19097222	0	0	0	0	30	5	5	5	33.23	3.46	0.45	0	0	445.26
0.19444444	0	0	0	0	30	5	5	5	33.22	3.46	0.45	0	0	445.26
0.19791667	0	0	0	0	30	5	5	5	33.2	3.46	0.45	0	0	445.26
0.20138889	0	0	0	0	30	5	5	5	33.19	3.46	0.45	0	0	445.26
0.20486111	0	0	0	0	30	5	5	5	33.18	3.46	0.44	0	0	445.26
0.20833333	0	0	0	0	30	5	5	5	33.17	3.46	0.44	0	0	445.26
0.21180556	0	0	0	0	30	5	5	5	33.15	3.46	0.44	0	0	445.26
0.21527778	0	0	0	0	30	5	5	5	33.14	3.46	0.44	0	0	445.26
0.21875	0	0	0	0	30	5	5	5	33.13	3.46	0.44	0	0	445.26
0.22222222	0	0	0	0	30	5	5	5	33.12	3.46	0.44	0	0	445.26
0.22569444	0	0	0	0	30	5	5	5	33.11	3.46	0.44	0	0	445.26
0.22916667	0	0	0	0	30	5	5	5	33.09	3.46	0.44	0	0	445.26
0.23263889	0	0	0	0	30	5	5	5	33.08	3.46	0.44	0	0	445.26
0.23611111	0	0	0	0	30	5	5	5	33.07	3.46	0.44	0	0	445.26
0.23958333	0	0	0	0	30	5	5	5	33.06	3.46	0.44	0	0	445.26
0.24305556	0	0	0	0	30	5	5	5	33.04	3.46	0.44	0	0	445.26
0.24652778	0	0	0	0	30	5	5	5	33.03	3.46	0.44	0	0	445.26
0.25	0	0	0	0	30	5	5	5	33.02	3.46	0.44	0	0	445.26
0.25347222	0	0	0	0	30	5	5	5	33.01	3.46	0.44	0	0	445.26
0.25694444	0	0	0	0	30	5	5	5	33	3.46	0.44	0	0	445.26
0.26041667	0	0	0	0	30	5	5	5	32.98	3.46	0.44	0	0	445.26
0.26388889	0	0	0	0	30	5	5	5	32.97	3.46	0.44	0	0	445.26
0.26736111	0	0	0	0	30	5	5	5	32.96	3.46	0.43	0	0	445.26
0.27083333	0	0	0	0	30	5	5	5	32.95	3.46	0.43	0	0	445.26
0.27430556	0	0	0	0	30	5	5	5	32.93	3.46	0.43	0	0	445.26
0.27777778	0	0	0	0	30	5	5	5	32.92	3.46	0.43	0	0	445.26
0.28125	0	0	0	0	30	5	5	5	32.91	3.46	0.43	0	0	445.26
0.28472222	0	0	0	0	30	5	5	5	32.9	3.46	0.43	0	0	445.26
0.28819444	0	0	0	0	30	5	5	5	32.88	3.46	0.43	0	0	445.26
0.29166667	0	0	0	0	30	5	5	5	32.87	3.46	0.43	0	0	445.26
0.29513889	0	0	0	0	30	5	5	5	32.86	3.46	0.43	0	0	445.26
0.29861111	0	0	0	0	30	5	5	5	32.85	3.46	0.43	0	0	445.26
0.30208333	0	0	0	0	30	5	5	5	32.83	3.46	0.43	0	0	445.26
0.30555556	0	0	0	0	30	5	5	5	32.82	3.46	0.43	0	0	445.26
0.30902778	0	0	0	0	30	5	5	5	32.81	3.46	0.43	0	0	445.26
0.3125	0	0	0	0	30	5	5	5	32.8	3.46	0.43	0	0	445.26
0.31597222	0	0	0	0	30	5	5	5	32.79	3.46	0.43	0	0	445.26
0.31944444	0	0	0	0	30	5	5	5	32.79	3.46	0.43	0	0	445.26
0.32291667	0	0	0	0	30	5	5	5	32.78	3.46	0.43	0	0	445.26
0.32638889	0	0	0	0	30	5	5	5	32.78	3.46	0.43	0	0	445.26
0.32986111	0	0	0	0	30	5	5	5	32.77	3.46	0.43	0	0	445.26
0.33333333	0	0	0	0	30	5	5	5	32.77	3.46	0.42	0	0	445.26
0.33680556	0	0	0	0	30	5	5	5	32.76	3.46	0.42	0	0	445.26
0.34027778	0	0	0	0	30	5	5	5	32.75	3.46	0.42	0	0	445.26
0.34375	0	0	0	0	30	5	5	5	32.75	3.46	0.42	0	0	445.26
0.34722222	0	0	0	0	30	5	5	5	32.74	3.46	0.42	0	0	445.26
0.35069444	0	0	0	0	30	5	5	5	32.74	3.46	0.42	0	0	445.26
0.35416667	0	0	0	0	30	5	5	5	32.73	3.46	0.42	0	0	445.26
0.35763889	0	0	0	0	30	5	5	5	32.73	3.46	0.42	0	0	445.26
0.36111111	0	0	0	0	30	5	5	5	32.72	3.46	0.42	0	0	445.26
0.36458333	0	0	0	0	30	5	5	5	32.72	3.46	0.42	0	0	445.26
0.36805556	0	0	0	0	30	5	5	5	32.71	3.46	0.42	0	0	445.26
0.37152778	0	0	0	0	30	5	5	5	32.71	3.46	0.42	0	0	445.26
0.375	0	0	0	0	30	5	5	5	32.7	3.46	0.42	0	0	445.26
0.37847222	0	0	0	0	30	5	5	5	32.7	3.46	0.42	0	0	445.26
0.38194444	0	0	0	0	30	5	5	5	32.69	3.46	0.42	0	0	445.26
0.38541667	0	0	0	0	30	5	5	5	32.69	3.46	0.42	0	0	445.26
0.38888889	0	0	0	0	30	5	5	5	32.68	3.46	0.42	0	0	445.26
0.39236111	0	0	0	0	30	5	5	5	32.67	3.46	0.42	0	0	445.26
0.39583333	0	0	0	0	30	5	5	5	32.67	3.46	0.41	0	0	445.26
0.39930556	0	0	0	0	30	5	5	5	32.66	3.46	0.41	0	0	445.26
0.40277778	0	0	0	0	30	5	5	5	32.66	3.46	0.41	0	0	445.26
0.40625	0	0	0	0	30	5	5	5	32.65	3.46	0.41	0	0	445.26
0.40972222	0	0	0	0	30	5	5	5	32.65	3.46	0.41	0	0	445.26
0.41319444	0	0	0	0	30	5	5	5	32.64	3.46	0.41	0	0	445.26
0.41666667	0	0	0	0	30	5	5	5	32.64	3.46	0.41	0	0	445.26
0.42013889	0	0	0	0	30	5	5	5	32.63	3.46	0.41	0	0	445.26
0.42361111	0	0	0	0	30	5	5	5	32.63	3.46	0.41	0	0	445.26
0.42708333	0	0	0	0	30	5	5	5	32.62	3.46	0.41	0	0	445.26
0.43055556	0	0	0	0	30	5	5	5	32.62	3.46	0.41	0	0	445.26
0.43402778	0	0	0	0	30	5	5	5	32.61	3.46	0.41	0	0	445.26
0.4375	0	0	0	0	30	5	5	5	32.61	3.46	0.41	0	0	445.26
0.44097222	0	0	0	0	30	5	5	5	32.6	3.46	0.41	0	0	445.26
0.44444444	0	0	0	0	30	5	5	5	32.6	3.46	0.41	0	0	445.26
0.44791667	0	0	0	0	30	5	5	5	32.59	3.46	0.41	0	0	445.26
0.45138889	0	0	0	0	30	5	5	5	32.59	3.46	0.41	0	0	445.26
0.45486111	0	0	0	0	30	5	5	5	32.58	3.46	0.41	0	0	445.26
0.45833333	0	0	0	0	30	5	5	5	32.58	3.46	0.4	0	0	445.26
0.46180556	0	0	0	0	30	5	5	5	32.57	3.46	0.4	0	0	445.26
0.46527778	0	0	0	0	30	5	5	5	32.57	3.46	0.4	0	0	445.26
0.46875	0	0	0	0	30	5	5	5	32.56	3.46	0.4	0	0	445.26
0.47222222	0	0	0	0	30	5	5	5	32.56	3.46	0.4	0	0	445.26
0.47569444	0	0	0	0	30	5	5	5	32.55	3.46	0.4	0	0	445.26
0.47916667	0	0	0	0	30	5	5	5	32.55	3.46	0.4	0	0	445.26
