parameter,name (if diff),unit,expected,low,high,distribution,references
CWF_cost,,USD,16.68,8,35,triangular,"Ren, D., Colosi, L. M., & Smith, J. A. (2013). Evaluating the Sustainability of Ceramic Filters for Point-of-Use Drinking Water Treatment. Environmental Science & Technology, 47(19), 11206–11213. https://doi.org/10.1021/es4026084"
Clay_mass,,kg,4.7,3.525,5.875,uniform,"Ren, D., Colosi, L. M., & Smith, J. A. (2013). Evaluating the Sustainability of Ceramic Filters for Point-of-Use Drinking Water Treatment. Environmental Science & Technology, 47(19), 11206–11213. https://doi.org/10.1021/es4026085"
Sawdust_mass,,kg,1.3,0.975,1.625,uniform,"Ren, D., Colosi, L. M., & Smith, J. A. (2013). Evaluating the Sustainability of Ceramic Filters for Point-of-Use Drinking Water Treatment. Environmental Science & Technology, 47(19), 11206–11213. https://doi.org/10.1021/es4026086"
CWF_water,,kg,2,1.5,2.5,uniform,"Ren, D., Colosi, L. M., & Smith, J. A. (2013). Evaluating the Sustainability of Ceramic Filters for Point-of-Use Drinking Water Treatment. Environmental Science & Technology, 47(19), 11206–11213. https://doi.org/10.1021/es4026087"
CWF_flow,,L/h,2,,,constant,
AgNP,,kg/filter,0.000064,0.0000096,0.000096,uniform,"Ren, D., Colosi, L. M., & Smith, J. A. (2013). Evaluating the Sustainability of Ceramic Filters for Point-of-Use Drinking Water Treatment. Environmental Science & Technology, 47(19), 11206–11213. https://doi.org/10.1021/es4026086"
Electricity ,,Mj,0.0324,0.0243,0.0405,uniform,"Ren, D., Colosi, L. M., & Smith, J. A. (2013). Evaluating the Sustainability of Ceramic Filters for Point-of-Use Drinking Water Treatment. Environmental Science & Technology, 47(19), 11206–11213. https://doi.org/10.1021/es4026087"
Brush_cost,,USD,0.4,0.3,0.5,uniform,https://www.justmanbrush.com/wood-handle-white-bristle-chip-brush/?sku=690256&gclid=EAIaIQobChMIufbJ_Jb9_AIVtf7jBx16WA33EAQYCiABEgJxovD_BwE
log_reduction_cwf,,None,3,2,4,uniform,
Wood_mass,,kg,6.1,4,9.4,triangular,"Ren, D., Colosi, L. M., & Smith, J. A. (2013). Evaluating the Sustainability of Ceramic Filters for Point-of-Use Drinking Water Treatment. Environmental Science & Technology, 47(19), 11206–11213. https://doi.org/10.1021/es4026086"
propane,,kg,0.9,0.55,1.3,triangular,"Ren, D., Colosi, L. M., & Smith, J. A. (2013). Evaluating the Sustainability of Ceramic Filters for Point-of-Use Drinking Water Treatment. Environmental Science & Technology, 47(19), 11206–11213. https://doi.org/10.1021/es4026087"
PE_in_container,,kg,0.9,0.675,1.125,uniform,https://www.tanksinternational.it/en/category/3/13/PLASTIC-APPROVED-JERRYCAN-20-LITRES-VOLUME/80
AgNP_low_lifetime,,yr,1,0.5,1.5,uniform,"Mittelman, A. M.; Lantagne, D. S.; Rayner, J.; Pennell, K. D. Silver Dissolution and Release from Ceramic Water Filters. Environ. Sci. Technol. 2015, 49 (14), 8515–8522. https://doi.org/10.1021/acs.est.5b01428"
AgNP_lifetime_old,,yr,3,1.5,4.5,uniform,"Mittelman, A. M.; Lantagne, D. S.; Rayner, J.; Pennell, K. D. Silver Dissolution and Release from Ceramic Water Filters. Environ. Sci. Technol. 2015, 49 (14), 8515–8522. https://doi.org/10.1021/acs.est.5b01429"
CWF_clay_cost,,USD/filter,0.99,0.7425,1.2375,uniform,
CWF_grog_cost,,USD/filter,0.18,0.135,0.225,uniform,
CWF_sawdust_cost,,USD/filter,0.9,0.675,1.125,uniform,
CWF_AgNP_cost_old,,USD/filter,10,7.5,12.5,uniform,
CWF_water_cost,,USD/filter,0.02,0.015,0.025,uniform,
CWF_wood_cost,,USD/filter,0.5,0.375,0.625,uniform,
CWF_labor_cost,,USD/filter,5.53,4.1475,6.9125,uniform,
CWF_additional_cost,,USD/filter,4,3,5,uniform,
CWF_AgNP_cost,,USD/kg,1250,1000,1500,triangular,
Argenol_AgNP_content,,fraction Ag,0.725,0.7,0.75,triangular,https://www.susana.org/_resources/documents/default/3-4124-7-1616680154.pdf
CWF_bucket,,USD,2,1.5,2.5,uniform,
CWF_lid,,USD,1,0.75,1.25,uniform,
CWF_spout,,USD,1,0.75,1.25,uniform,
